Date,Rank,Code,Name,TradeVolume,Transaction,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Dir,Change,LastBestBidPrice,LastBestAskPrice,date
20260514,1,3481,群創,998720739,316921,38.40,38.65,35.00,35.40,-,2.10,35.40,35.45,2026-05-15
20260514,2,00403A,主動統一升級50,847276873,173857,10.33,10.38,10.21,10.24,+,0.06,10.23,10.24,2026-05-15
20260514,3,2344,華邦電,419382102,209775,127.00,134.00,124.50,134.00,+,12.00,134.00,,2026-05-15
20260514,4,2303,聯電,333998329,148094,102.00,108.00,98.80,108.00,+,9.60,108.00,,2026-05-15
20260514,5,2409,友達,323755549,75106,20.70,20.70,19.30,19.55,-,0.65,19.50,19.55,2026-05-15
20260514,6,2337,旺宏,318986180,220029,172.00,178.50,165.00,169.00,+,1.00,169.00,169.50,2026-05-15
20260514,7,00981A,主動統一台股增長,263152663,66398,29.83,30.03,29.35,29.44,+,0.16,29.44,29.45,2026-05-15
20260514,8,6770,力積電,196451270,90025,61.80,63.40,60.80,62.20,+,1.70,62.20,62.30,2026-05-15
20260514,9,6116,彩晶,191343134,42392,11.25,11.30,10.30,10.40,-,0.85,10.40,10.45,2026-05-15
20260514,10,2408,南亞科,181771498,135150,342.50,353.00,335.50,341.00,+,20.00,341.00,341.50,2026-05-15
20260514,11,00631L,元大台灣50正2,161757349,46527,32.60,32.83,31.73,31.96,+,0.11,31.96,31.97,2026-05-15
20260514,12,009816,凱基台灣TOP50,158666957,37054,14.08,14.15,13.86,13.90,,,13.90,13.91,2026-05-15
20260514,13,00919,群益台灣精選高息,145097415,30042,25.68,25.94,25.62,25.89,+,0.34,25.89,25.90,2026-05-15
20260514,14,2887,台新新光金,118169834,16561,23.15,23.55,23.00,23.10,-,0.05,23.10,23.15,2026-05-15
20260514,15,00991A,主動復華未來50,100179280,20864,18.70,18.83,18.52,18.55,+,0.43,18.54,18.55,2026-05-15
20260514,16,2377,微星,98929336,60846,121.00,124.00,116.50,117.00,+,1.50,117.00,117.50,2026-05-15
20260514,17,00632R,元大台灣50反1,91702475,7904,11.16,11.32,11.12,11.32,+,0.01,11.31,11.32,2026-05-15
20260514,18,2356,英業達,80235506,43668,53.50,53.90,51.60,53.20,+,0.40,53.10,53.20,2026-05-15
20260514,19,00988A,主動統一全球創新,76185849,18694,20.20,20.38,20.01,20.03,+,0.11,20.03,20.04,2026-05-15
20260514,20,2481,強茂,73640871,40375,130.50,133.00,114.50,115.50,-,5.50,115.50,116.00,2026-05-15
20260514,1,3481,群創,998720739,316921,38.40,38.65,35.00,35.40,-,2.10,35.40,35.45,2026-05-15
20260514,2,00403A,主動統一升級50,847276873,173857,10.33,10.38,10.21,10.24,+,0.06,10.23,10.24,2026-05-15
20260514,3,2344,華邦電,419382102,209775,127.00,134.00,124.50,134.00,+,12.00,134.00,,2026-05-15
20260514,4,2303,聯電,333998329,148094,102.00,108.00,98.80,108.00,+,9.60,108.00,,2026-05-15
20260514,5,2409,友達,323755549,75106,20.70,20.70,19.30,19.55,-,0.65,19.50,19.55,2026-05-15
20260514,6,2337,旺宏,318986180,220029,172.00,178.50,165.00,169.00,+,1.00,169.00,169.50,2026-05-15
20260514,7,00981A,主動統一台股增長,263152663,66398,29.83,30.03,29.35,29.44,+,0.16,29.44,29.45,2026-05-15
20260514,8,6770,力積電,196451270,90025,61.80,63.40,60.80,62.20,+,1.70,62.20,62.30,2026-05-15
20260514,9,6116,彩晶,191343134,42392,11.25,11.30,10.30,10.40,-,0.85,10.40,10.45,2026-05-15
20260514,10,2408,南亞科,181771498,135150,342.50,353.00,335.50,341.00,+,20.00,341.00,341.50,2026-05-15
20260514,11,00631L,元大台灣50正2,161757349,46527,32.60,32.83,31.73,31.96,+,0.11,31.96,31.97,2026-05-15
20260514,12,009816,凱基台灣TOP50,158666957,37054,14.08,14.15,13.86,13.90,,,13.90,13.91,2026-05-15
20260514,13,00919,群益台灣精選高息,145097415,30042,25.68,25.94,25.62,25.89,+,0.34,25.89,25.90,2026-05-15
20260514,14,2887,台新新光金,118169834,16561,23.15,23.55,23.00,23.10,-,0.05,23.10,23.15,2026-05-15
20260514,15,00991A,主動復華未來50,100179280,20864,18.70,18.83,18.52,18.55,+,0.43,18.54,18.55,2026-05-15
20260514,16,2377,微星,98929336,60846,121.00,124.00,116.50,117.00,+,1.50,117.00,117.50,2026-05-15
20260514,17,00632R,元大台灣50反1,91702475,7904,11.16,11.32,11.12,11.32,+,0.01,11.31,11.32,2026-05-15
20260514,18,2356,英業達,80235506,43668,53.50,53.90,51.60,53.20,+,0.40,53.10,53.20,2026-05-15
20260514,19,00988A,主動統一全球創新,76185849,18694,20.20,20.38,20.01,20.03,+,0.11,20.03,20.04,2026-05-15
20260514,20,2481,強茂,73640871,40375,130.50,133.00,114.50,115.50,-,5.50,115.50,116.00,2026-05-15
20260515,1,00403A,主動統一升級50,1856314715,473742,10.38,10.38,10.00,10.00,-,0.24,10.00,10.01,2026-05-17
20260515,2,3481,群創,892798512,258325,35.80,38.40,35.25,36.10,+,0.70,36.10,36.15,2026-05-17
20260515,3,00981A,主動統一台股增長,462469869,220241,29.85,29.85,28.33,28.42,-,1.02,28.42,28.43,2026-05-17
20260515,4,2303,聯電,413940731,165215,112.00,118.00,108.00,110.00,+,2.00,110.00,110.50,2026-05-17
20260515,5,6770,力積電,356822147,159558,63.00,67.00,62.30,62.80,+,0.60,62.80,62.90,2026-05-17
20260515,6,2344,華邦電,348302189,174568,132.50,136.50,127.50,129.50,-,4.50,129.00,129.50,2026-05-17
20260515,7,2409,友達,317634644,73456,19.60,20.30,18.90,19.05,-,0.50,19.05,19.10,2026-05-17
20260515,8,00631L,元大台灣50正2,260114927,83530,32.99,33.19,31.20,31.26,-,0.70,31.26,31.27,2026-05-17
20260515,9,00991A,主動復華未來50,242099228,71711,18.90,18.90,17.65,17.65,-,0.90,17.65,17.66,2026-05-17
20260515,10,009816,凱基台灣TOP50,217397039,58273,14.10,14.18,13.69,13.74,-,0.16,13.73,13.74,2026-05-17
20260515,11,2408,南亞科,160442326,157539,330.50,334.50,308.50,311.50,-,29.50,311.00,311.50,2026-05-17
20260515,12,00992A,主動群益科技創新,155930845,57474,18.42,18.43,17.38,17.42,-,0.82,17.42,17.43,2026-05-17
20260515,13,00632R,元大台灣50反1,149413574,15257,11.12,11.46,11.07,11.46,+,0.14,11.45,11.46,2026-05-17
20260515,14,00919,群益台灣精選高息,146122962,41117,26.15,26.37,25.66,25.76,-,0.13,25.76,25.77,2026-05-17
20260515,15,2317,鴻海,138413483,106675,249.00,260.00,247.00,248.50,+,4.00,248.50,249.00,2026-05-17
20260515,16,00982A,主動群益台灣強棒,134337648,43209,23.45,23.45,22.50,22.55,-,0.60,22.55,22.56,2026-05-17
20260515,17,2337,旺宏,129725442,104729,168.00,168.50,161.50,162.50,-,6.50,162.50,163.00,2026-05-17
