股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記,date
00400A,主動國泰動能高息,780,569,583,18718,18346,385910,,2,,13,15,385910,21, ,2026-05-15
00401A,主動摩根台灣鑫收,97,83,,1135,1149,66848,,,,,,66848,, ,2026-05-15
00403A,主動統一升級50,21732,18595,207,171227,174157,3700754,523,135,7000,10533,3145,3700754,86, ,2026-05-15
0050,元大台灣50,236,465,19,9575,9327,4665125,30,26,,1387,1383,4665125,37, ,2026-05-15
0051,元大中型100,12,,,38,50,6125,1,,,1,,6125,, ,2026-05-15
0052,富邦科技,249,379,2,9487,9355,627000,2,1,,120,119,627000,, ,2026-05-15
0053,元大電子,,,,7,7,1247,,,,,,1247,, ,2026-05-15
0055,元大MSCI金融,1,,,68,69,20288,,,,,,20288,, ,2026-05-15
0056,元大高股息,86,95,1,2663,2653,3440383,62,2,,280,220,3440383,, ,2026-05-15
0057,富邦摩台,,,,,,381,,,,,,381,, ,2026-05-15
0061,元大寶滬深,,,,133,133,25904,,,,,,25904,, ,2026-05-15
006203,元大MSCI台灣,,,,,,2554,,,,,,2554,, ,2026-05-15
006204,永豐臺灣加權,,,,,,375,,,,,,375,, ,2026-05-15
006205,富邦上証,1,,,8,9,25484,,,,1,1,25484,, ,2026-05-15
006206,元大上證50,,,,12,12,7444,,,,,,7444,, ,2026-05-15
006207,復華滬深,,,,5,5,5598,,,,,,5598,, ,2026-05-15
006208,富邦台50,7,28,,228,207,460760,,,,31,31,460760,, ,2026-05-15
00631L,元大台灣50正2,6479,8791,123,139081,136646,1081837,888,1513,,13073,13698,1081837,734, ,2026-05-15
00632R,元大台灣50反1,6428,9036,355,293633,290670,583551,169,222,,5088,5141,583551,498, ,2026-05-15
00633L,富邦上証正2,265,112,,6912,7065,35239,9,61,,920,972,35239,, ,2026-05-15
00634R,富邦上証反1,100,100,,1871,1871,11814,,,,23,23,11814,, ,2026-05-15
00635U,期元大S&P黃金,32,91,,4874,4815,73253,,1,,268,269,73253,, ,2026-05-15
00636,國泰中國A50,,,,34,34,26956,,,,,,26956,, ,2026-05-15
00637L,元大滬深300正2,2995,8252,,86056,80799,205276,155,13,,12139,11997,205276,135, ,2026-05-15
00638R,元大滬深300反1,5,,,930,935,6862,,,,6,6,6862,, ,2026-05-15
00639,富邦深100,110,18,,479,571,28100,,,,7,7,28100,1, ,2026-05-15
00640L,富邦日本正2,3,13,,712,702,2354,1,,,79,78,2354,, ,2026-05-15
00641R,富邦日本反1,16,83,,7749,7682,18689,,,,517,517,18689,, ,2026-05-15
00642U,期元大S&P石油,135,161,,7337,7311,27330,4,114,11,3468,3567,27330,, ,2026-05-15
00643,群益深証中小,42,,15,990,1017,20518,,,,,,20518,, ,2026-05-15
00645,富邦日本,4,,,36,40,12749,,,,,,12749,, ,2026-05-15
00646,元大S&P500,2,1,3,106,104,136371,,,,2,2,136371,, ,2026-05-15
00647L,元大S&P500正2,1,2,,28,27,1604,,,,,,1604,, ,2026-05-15
00648R,元大S&P500反1,36,29,,9466,9473,36672,7,,,128,121,36672,, ,2026-05-15
00650L,復華香港正2,1244,941,1,16226,16528,30334,39,27,,1790,1778,30334,55, ,2026-05-15
00651R,復華香港反1,,35,,1765,1730,8298,,,,330,330,8298,, ,2026-05-15
00652,富邦印度,1,,,37,38,17008,,,,,,17008,, ,2026-05-15
00653L,富邦印度正2,51,11,,2727,2767,4600,,,,2,2,4600,, ,2026-05-15
00654R,富邦印度反1,,,,723,723,5116,,1,,70,71,5116,, ,2026-05-15
00655L,國泰中國A50正2,72,20,,2163,2215,18114,3,,,372,369,18114,, ,2026-05-15
00656R,國泰中國A50反1,,,,232,232,5089,,,,,,5089,, ,2026-05-15
00657,國泰日經225,,,,,,1646,,,,,,1646,, ,2026-05-15
00660,元大歐洲50,,,,8,8,2007,,,,,,2007,, ,2026-05-15
00661,元大日經225,1,,,45,46,5981,,,,,,5981,, ,2026-05-15
00662,富邦NASDAQ,55,2,1,905,957,186382,,,,2,2,186382,, ,2026-05-15
00663L,國泰臺灣加權正2,304,264,,5167,5207,27415,46,136,,1865,1955,27415,44, ,2026-05-15
00664R,國泰臺灣加權反1,2335,3614,,108630,107351,196018,11,34,,435,458,196018,39, ,2026-05-15
00665L,富邦恒生國企正2,3434,3324,70,72994,73034,112116,27,22,,1628,1623,112116,107, ,2026-05-15
00666R,富邦恒生國企反1,,50,,636,586,3781,,,,12,12,3781,, ,2026-05-15
00668,國泰美國道瓊,,,,74,74,2883,,,,,,2883,, ,2026-05-15
00669R,國泰美國道瓊反1,38,30,,12777,12785,52154,,,,177,177,52154,, ,2026-05-15
00670L,富邦NASDAQ正2,31,59,,1622,1594,18911,18,4,,249,235,18911,, ,2026-05-15
00671R,富邦NASDAQ反1,420,414,,135101,135107,137971,10,21,,2923,2934,137971,,@ ,2026-05-15
00673R,期元大S&P原油反1,1004,2568,1,110227,108662,205012,8,329,,316,637,205012,, ,2026-05-15
00674R,期元大S&P黃金反1,,,,115,115,,,,,,,,,OX ,2026-05-15
00675L,富邦臺灣加權正2,80,134,,1610,1556,27196,1,4,,583,586,27196,1, ,2026-05-15
00676R,富邦臺灣加權反1,460,321,,22386,22525,43208,1,6,,226,231,43208,8, ,2026-05-15
00678,群益那斯達克生技,,,,11,11,1987,,,,,,1987,, ,2026-05-15
00680L,元大美債20正2,962,224,5,80602,81335,483269,17,,,205,188,483269,, ,2026-05-15
00681R,元大美債20反1,,,,13,13,1898,,,,,,1898,, ,2026-05-15
00682U,期元大美元指數,,,,6,6,1911,,,,,,1911,, ,2026-05-15
00683L,期元大美元指正2,,,,148,148,2858,,,,1,1,2858,, ,2026-05-15
00684R,期元大美元指反1,,,,21,21,2422,,,,,,2422,, ,2026-05-15
00685L,群益臺灣加權正2,18,37,1,348,328,9659,,1,,16,17,9659,3, ,2026-05-15
00686R,群益臺灣加權反1,309,3,,19399,19705,44569,,2,,7,9,44569,2, ,2026-05-15
00688L,國泰20年美債正2,238,609,25,34533,34137,201278,,,,21,21,201278,, ,2026-05-15
