IndustryCat,Numbers,ShareNumber,ForeignMainlandAreaShare,Percentage,date
ETF,225,204773012760,3766583120,1.84,2026-05-15
水泥工業,8,14064571612,1977543140,14.06,2026-05-15
食品工業,25,14867130138,2487775244,16.73,2026-05-15
塑膠工業,22,31816388213,7853045096,24.68,2026-05-15
紡織纖維,42,18966727617,1908797043,10.06,2026-05-15
電機機械,50,12180008506,1593750197,13.08,2026-05-15
電器電纜,16,8469626504,989239346,11.68,2026-05-15
化學生技醫療,87,20860188856,3050010662,14.62,2026-05-15
化學工業,28,10737596100,1380670315,12.86,2026-05-15
生技醫療業,59,10122592756,1669340347,16.49,2026-05-15
玻璃陶瓷,5,3840410326,192470541,5.01,2026-05-15
造紙工業,7,5877335202,468992780,7.98,2026-05-15
鋼鐵工業,32,30101515296,3357660051,11.15,2026-05-15
橡膠工業,11,8473538291,836704670,9.87,2026-05-15
汽車工業,44,9438111332,989096010,10.48,2026-05-15
電子工業,455,237471150405,67816151718,28.56,2026-05-15
半導體業,95,78409154111,33879482493,43.21,2026-05-15
電腦及週邊設備業,64,37750345037,8462565561,22.42,2026-05-15
光電業,68,35390049713,5660089036,15.99,2026-05-15
通信網路業,45,23935100864,3797184481,15.86,2026-05-15
電子零組件業,104,28975633996,7183552427,24.79,2026-05-15
電子通路業,22,8786732025,1955610905,22.26,2026-05-15
資訊服務業,11,1443964583,77311324,5.35,2026-05-15
其他電子業,46,22780170076,6800355491,29.85,2026-05-15
建材營造,55,29164075140,3604303372,12.36,2026-05-15
航運業,27,37214803540,5741914385,15.43,2026-05-15
觀光餐旅,19,3070244690,260133520,8.47,2026-05-15
金融保險,49,268179377008,58817711126,21.93,2026-05-15
貿易百貨,19,8113963972,828728738,10.21,2026-05-15
油電燃氣業,8,11699335310,677996680,5.80,2026-05-15
存託憑證,10,2458465976,37960474,1.54,2026-05-15
綠能環保,25,4006798931,196052517,4.89,2026-05-15
數位雲端,12,817550047,113908428,13.93,2026-05-15
運動休閒,18,6714124125,2177253381,32.43,2026-05-15
居家生活,11,1827530995,414391755,22.67,2026-05-15
其他,57,17012786480,2609780848,15.34,2026-05-15
ETF,225,204773012760,3766583120,1.84,2026-05-15
水泥工業,8,14064571612,1977543140,14.06,2026-05-15
食品工業,25,14867130138,2487775244,16.73,2026-05-15
塑膠工業,22,31816388213,7853045096,24.68,2026-05-15
紡織纖維,42,18966727617,1908797043,10.06,2026-05-15
電機機械,50,12180008506,1593750197,13.08,2026-05-15
電器電纜,16,8469626504,989239346,11.68,2026-05-15
化學生技醫療,87,20860188856,3050010662,14.62,2026-05-15
化學工業,28,10737596100,1380670315,12.86,2026-05-15
生技醫療業,59,10122592756,1669340347,16.49,2026-05-15
玻璃陶瓷,5,3840410326,192470541,5.01,2026-05-15
造紙工業,7,5877335202,468992780,7.98,2026-05-15
鋼鐵工業,32,30101515296,3357660051,11.15,2026-05-15
橡膠工業,11,8473538291,836704670,9.87,2026-05-15
汽車工業,44,9438111332,989096010,10.48,2026-05-15
電子工業,455,237471150405,67816151718,28.56,2026-05-15
半導體業,95,78409154111,33879482493,43.21,2026-05-15
電腦及週邊設備業,64,37750345037,8462565561,22.42,2026-05-15
光電業,68,35390049713,5660089036,15.99,2026-05-15
通信網路業,45,23935100864,3797184481,15.86,2026-05-15
電子零組件業,104,28975633996,7183552427,24.79,2026-05-15
電子通路業,22,8786732025,1955610905,22.26,2026-05-15
資訊服務業,11,1443964583,77311324,5.35,2026-05-15
其他電子業,46,22780170076,6800355491,29.85,2026-05-15
建材營造,55,29164075140,3604303372,12.36,2026-05-15
航運業,27,37214803540,5741914385,15.43,2026-05-15
觀光餐旅,19,3070244690,260133520,8.47,2026-05-15
金融保險,49,268179377008,58817711126,21.93,2026-05-15
貿易百貨,19,8113963972,828728738,10.21,2026-05-15
油電燃氣業,8,11699335310,677996680,5.80,2026-05-15
存託憑證,10,2458465976,37960474,1.54,2026-05-15
綠能環保,25,4006798931,196052517,4.89,2026-05-15
數位雲端,12,817550047,113908428,13.93,2026-05-15
運動休閒,18,6714124125,2177253381,32.43,2026-05-15
居家生活,11,1827530995,414391755,22.67,2026-05-15
