Date,stock_id,stock_name,volume,amount,open,high,low,close,change,transactions,date
1150514,0050,元大台灣50,57229209.0,5510647058.0,96.9,97.2,95.75,96.05,0.55,70419.0,2026-05-15
1150514,0051,元大中型100,108542.0,14413535.0,134.35,134.35,131.95,132.45,-1.3,604.0,2026-05-15
1150514,0052,富邦科技,25099890.0,1419937529.0,57.0,57.15,56.2,56.6,0.45,12660.0,2026-05-15
1150514,0053,元大電子,9083.0,2027968.0,224.7,224.7,222.9,223.8,2.4,161.0,2026-05-15
1150514,0055,元大MSCI金融,213125.0,7208187.0,33.9,34.05,33.63,33.66,-0.09,384.0,2026-05-15
1150514,0056,元大高股息,35738811.0,1620104965.0,45.51,45.65,45.15,45.15,0.0,23745.0,2026-05-15
1150514,0057,富邦摩台,5994.0,1721974.0,289.95,289.95,286.0,287.1,-6.2,183.0,2026-05-15
1150514,0061,元大寶滬深,236567.0,6037257.0,25.5,25.7,25.21,25.34,-0.08,189.0,2026-05-15
1150514,1101,台泥,29408138.0,721647196.0,24.65,24.8,24.4,24.55,-0.15,8444.0,2026-05-15
1150514,1102,亞泥,13239584.0,466692739.0,35.0,35.45,35.0,35.2,-0.1,4461.0,2026-05-15
1150514,1103,嘉泥,445299.0,5830511.0,13.1,13.25,13.0,13.05,-0.15,439.0,2026-05-15
1150514,1104,環泥,634461.0,17762125.0,28.0,28.15,27.9,27.9,-0.15,812.0,2026-05-15
1150514,1108,幸福,496257.0,6953995.0,14.2,14.2,13.9,13.95,-0.15,307.0,2026-05-15
1150514,1109,信大,922378.0,13907651.0,15.3,15.3,14.95,15.2,-0.2,610.0,2026-05-15
1150514,1110,東泥,273190.0,3901115.0,14.4,14.55,14.1,14.4,0.0,197.0,2026-05-15
1150514,1201,味全,449124.0,5472941.0,12.2,12.3,12.15,12.15,-0.1,382.0,2026-05-15
1150514,1203,味王,28485.0,1213715.0,42.3,42.85,42.3,42.65,-0.2,65.0,2026-05-15
1150514,1210,大成,1734524.0,91292054.0,52.3,52.9,52.3,52.6,0.3,1360.0,2026-05-15
1150514,1213,大飲,8658.0,75301.0,8.5,8.95,8.34,8.95,0.25,17.0,2026-05-15
1150514,1215,卜蜂,1672793.0,231791104.0,135.5,140.0,135.5,138.5,3.0,1958.0,2026-05-15
1150514,1216,統一,12388191.0,930047926.0,74.6,75.6,74.6,74.8,-0.4,6957.0,2026-05-15
1150514,1217,愛之味,447135.0,4308298.0,9.67,9.67,9.61,9.61,-0.04,489.0,2026-05-15
1150514,1218,泰山,404717.0,7619107.0,18.85,18.95,18.75,18.75,-0.15,419.0,2026-05-15
1150514,1219,福壽,621053.0,8063727.0,13.0,13.1,12.95,12.95,-0.15,338.0,2026-05-15
1150514,1220,台榮,224064.0,2721051.0,12.25,12.25,12.05,12.1,-0.15,511.0,2026-05-15
1150514,1225,福懋油,1223003.0,36872060.0,30.0,30.75,29.75,30.25,-1.25,560.0,2026-05-15
1150514,1227,佳格,1327841.0,38032114.0,28.8,28.95,28.55,28.55,-0.25,1023.0,2026-05-15
1150514,1229,聯華,3408595.0,136300789.0,40.3,40.6,39.8,39.95,-0.35,3483.0,2026-05-15
1150514,1231,聯華食,261328.0,22492982.0,85.7,86.6,85.7,85.8,-0.3,501.0,2026-05-15
1150514,1232,大統益,106714.0,15836081.0,148.0,149.0,147.5,147.5,-0.5,148.0,2026-05-15
1150514,1233,天仁,14134.0,407656.0,28.8,29.0,28.8,28.8,0.1,26.0,2026-05-15
1150514,1234,黑松,533226.0,18147001.0,34.6,34.6,33.9,34.0,-0.5,655.0,2026-05-15
1150514,1235,興泰,22895.0,947124.0,42.45,42.45,40.0,40.0,-2.65,150.0,2026-05-15
1150514,1236,宏亞,37370.0,911287.0,24.35,24.55,24.1,24.5,-0.05,198.0,2026-05-15
1150514,1256,鮮活果汁-KY,222663.0,42064525.0,196.0,196.0,184.0,185.0,-6.0,846.0,2026-05-15
1150514,1301,台塑,18540747.0,859735393.0,46.85,47.1,46.0,46.1,-0.8,10649.0,2026-05-15
1150514,1303,南亞,51575498.0,4476794930.0,87.0,89.6,85.3,85.3,-1.2,32098.0,2026-05-15
1150514,1304,台聚,4595745.0,58352594.0,12.85,12.85,12.55,12.75,-0.25,1777.0,2026-05-15
1150514,1305,華夏,3694618.0,46731993.0,12.75,12.8,12.5,12.65,-0.35,1617.0,2026-05-15
1150514,1307,三芳,900619.0,28733364.0,31.9,32.1,31.7,31.9,0.05,506.0,2026-05-15
1150514,1308,亞聚,2589758.0,34507123.0,13.35,13.45,13.2,13.3,-0.05,1017.0,2026-05-15
1150514,1309,台達化,4148416.0,66602259.0,16.25,16.25,15.95,16.1,-0.1,1911.0,2026-05-15
1150514,1310,台苯,5741911.0,46455834.0,8.35,8.35,8.02,8.04,-0.31,2630.0,2026-05-15
1150514,1312,國喬,6970686.0,74788751.0,11.0,11.05,10.6,10.65,-0.25,2411.0,2026-05-15
1150514,1313,聯成,4731651.0,50516216.0,10.9,11.05,10.55,10.55,-0.5,1931.0,2026-05-15
1150514,1314,中石化,27451039.0,189869560.0,7.02,7.03,6.87,6.91,-0.11,8302.0,2026-05-15
1150514,1315,達新,32711.0,1996653.0,61.2,61.4,60.7,61.1,-0.6,59.0,2026-05-15
1150514,1316,上曜,1682769.0,18638150.0,11.2,11.25,10.95,11.15,0.0,787.0,2026-05-15
1150514,1319,東陽,2126253.0,169262289.0,80.2,80.5,79.1,79.2,-0.8,1824.0,2026-05-15
1150514,1321,大洋,146100.0,4318574.0,29.25,29.95,29.25,29.5,0.05,115.0,2026-05-15
1150514,1323,永裕,79307.0,1525874.0,19.2,19.5,19.1,19.35,0.15,87.0,2026-05-15
1150514,1324,地球,366607.0,3743977.0,10.25,10.3,10.2,10.3,0.05,154.0,2026-05-15
1150514,1325,恆大,226961.0,6149463.0,26.85,27.4,26.85,27.0,0.15,192.0,2026-05-15
1150514,1326,台化,19735831.0,893112186.0,46.05,46.1,44.8,44.95,-1.15,10723.0,2026-05-15
1150514,1337,再生-KY,638649.0,3142644.0,4.93,4.98,4.88,4.9,-0.05,339.0,2026-05-15
1150514,1338,廣華-KY,256287.0,3966194.0,15.9,15.95,15.25,15.45,-0.55,218.0,2026-05-15
1150514,1339,昭輝,262164.0,10623933.0,41.0,41.25,40.1,40.45,-0.25,283.0,2026-05-15
1150514,1340,勝悅-KY,475695.0,2634432.0,5.46,5.71,5.42,5.55,0.09,612.0,2026-05-15
1150514,1341,富林-KY,6003.0,365377.0,61.1,61.1,60.7,60.7,-0.4,9.0,2026-05-15
1150514,1342,八貫,310006.0,29156830.0,94.6,95.2,93.1,93.5,-0.8,826.0,2026-05-15
1150514,1402,遠東新,26610388.0,710143288.0,26.5,26.9,26.35,26.75,0.0,6224.0,2026-05-15
1150514,1409,新纖,12722018.0,219082293.0,16.9,17.4,16.9,17.25,0.35,4248.0,2026-05-15
1150514,1410,南染,107015.0,2925224.0,26.85,27.95,26.65,27.1,0.25,106.0,2026-05-15
1150514,1413,宏洲,21200.0,201333.0,9.33,9.55,9.33,9.47,0.01,13.0,2026-05-15
1150514,1414,東和,445649.0,7028117.0,16.05,16.05,15.6,15.75,-0.15,266.0,2026-05-15
1150514,1416,廣豐,370156.0,4159878.0,11.3,11.35,11.2,11.25,0.0,179.0,2026-05-15
1150514,1417,嘉裕,106448.0,888144.0,8.38,8.5,8.3,8.3,-0.08,160.0,2026-05-15
1150514,1418,東華,22233.0,409228.0,18.7,18.7,18.2,18.35,-0.05,36.0,2026-05-15
1150514,1419,新紡,177677.0,11344517.0,63.1,65.3,62.7,62.7,-1.1,226.0,2026-05-15
1150514,1423,利華,244942.0,9980696.0,40.55,41.4,39.6,40.55,0.6,186.0,2026-05-15
1150514,1432,大魯閣,185805.0,3073366.0,16.55,16.65,16.5,16.5,-0.05,458.0,2026-05-15
1150514,1434,福懋,2990966.0,46138114.0,15.6,15.6,15.3,15.35,-0.2,1341.0,2026-05-15
1150514,1436,華友聯,261882.0,12584542.0,48.0,48.45,47.7,48.05,0.05,306.0,2026-05-15
1150514,1437,勤益控,253958.0,7192865.0,28.6,28.6,28.15,28.2,-0.4,137.0,2026-05-15
1150514,1438,三地開發,71000.0,1486100.0,20.7,21.4,20.65,20.85,-0.15,39.0,2026-05-15
1150514,1439,雋揚,19293.0,497441.0,26.0,26.3,25.6,25.6,-0.65,29.0,2026-05-15
1150514,1440,南紡,2601272.0,30343789.0,11.75,11.8,11.6,11.65,-0.2,1209.0,2026-05-15
1150514,1441,大東,132439.0,1282223.0,9.76,9.76,9.61,9.64,-0.13,355.0,2026-05-15
1150514,1442,名軒,593247.0,15744492.0,26.6,26.95,26.35,26.35,-0.45,375.0,2026-05-15
1150514,1443,立益物流,46387.0,1229639.0,26.8,27.1,26.35,26.35,-0.45,39.0,2026-05-15
1150514,1444,力麗,2033082.0,12085226.0,5.93,6.03,5.86,5.95,0.05,748.0,2026-05-15
1150514,1445,大宇,97139.0,1147558.0,11.85,12.0,11.75,11.8,-0.1,82.0,2026-05-15
1150514,1446,宏和,219342.0,3343208.0,15.2,15.35,15.2,15.2,0.1,102.0,2026-05-15
1150514,1447,力鵬,6341870.0,32990475.0,4.92,5.38,4.92,5.22,0.32,1455.0,2026-05-15
1150514,1449,佳和,1269903.0,16558749.0,13.2,13.4,12.8,12.9,-0.5,883.0,2026-05-15
1150514,1451,年興,170975.0,2874113.0,16.8,16.95,16.7,16.95,0.15,151.0,2026-05-15
1150514,1452,宏益,97100.0,1069986.0,11.05,11.1,10.95,11.0,0.0,92.0,2026-05-15
1150514,1453,大將,77403.0,883575.0,11.4,11.75,11.3,11.35,-0.05,201.0,2026-05-15
1150514,1454,台富,103412.0,1352593.0,13.35,13.35,12.9,12.95,-0.65,249.0,2026-05-15
1150514,1455,集盛,641582.0,5227309.0,8.1,8.2,8.1,8.1,-0.01,308.0,2026-05-15
1150514,1456,怡華,56159.0,757274.0,14.3,14.3,13.25,13.25,-0.6,67.0,2026-05-15
1150514,1457,宜進,138038.0,1968210.0,14.25,14.5,14.2,14.2,-0.1,129.0,2026-05-15
1150514,1459,聯發,242745.0,2915528.0,11.9,12.1,11.85,11.85,-0.15,170.0,2026-05-15
1150514,1460,宏遠,998763.0,7121518.0,7.04,7.18,7.04,7.05,-0.02,383.0,2026-05-15
1150514,1463,強盛新,92494.0,1670222.0,18.0,18.2,18.0,18.0,-0.15,75.0,2026-05-15
1150514,1464,得力,802890.0,8057548.0,10.15,10.2,9.99,10.15,0.0,381.0,2026-05-15
1150514,1465,偉全,74040.0,888706.0,12.0,12.1,11.95,11.95,-0.15,125.0,2026-05-15
1150514,1466,聚隆,197655.0,2868777.0,14.55,14.85,14.3,14.35,-0.15,127.0,2026-05-15
