Code,Name,TradeVolume,Transaction,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Dir,Change,LastBestBidPrice,LastBestBidVolume,LastBestAskPrice,LastBestAskVolume,PriceEarningRatio,date
1256,鮮活果汁-KY,222663,846,42064525,196.00,196.00,184.00,185.00,-,6.00,184.50,1,185.00,1,13.97,2026-05-15
1337,再生-KY,638649,339,3142644,4.93,4.98,4.88,4.90,-,0.05,4.90,20,4.94,8,-,2026-05-15
1338,廣華-KY,256287,218,3966194,15.90,15.95,15.25,15.45,-,0.55,15.45,1,15.50,1,-,2026-05-15
1340,勝悅-KY,475695,612,2634432,5.46,5.71,5.42,5.55,+,0.09,5.54,2,5.55,1,-,2026-05-15
1341,富林-KY,6003,9,365377,61.10,61.10,60.70,60.70,-,0.40,60.60,1,61.50,1,14.88,2026-05-15
1590,亞德客-KY,897053,1504,1313168020,1470.00,1520.00,1440.00,1465.00,-,15.00,1460.00,10,1465.00,4,32.07,2026-05-15
1626,艾美特-KY,149496,321,1518511,10.25,10.35,10.00,10.00,-,0.55,10.00,4,10.10,4,-,2026-05-15
2115,六暉-KY,250812,135,5156286,20.75,20.75,20.40,20.45,-,0.30,20.45,5,20.55,37,16.10,2026-05-15
2236,百達-KY,409494,296,57013926,139.00,140.00,138.00,138.50,-,0.50,138.50,1,139.50,2,-,2026-05-15
2239,英利-KY,106603,106,2291893,21.35,21.90,21.35,21.60,-,0.15,21.50,1,21.60,1,-,2026-05-15
2243,宏旭-KY,728154,392,15459947,21.95,21.95,21.00,21.00,-,0.70,21.00,55,21.05,10,8.43,2026-05-15
2248,華勝-KY,47158,36,2554609,54.20,54.90,53.20,54.70,+,0.40,54.50,1,54.70,1,10.52,2026-05-15
2250,IKKA-KY,50817,86,3161780,62.10,62.50,62.00,62.50,+,0.40,62.20,1,62.80,1,18.55,2026-05-15
2637,慧洋-KY,2237628,1854,167412619,74.70,75.80,74.20,74.90,+,1.00,74.90,27,75.00,52,10.53,2026-05-15
2723,美食-KY,421234,384,27719452,66.40,66.80,65.10,65.10,-,1.40,65.00,26,65.30,1,-,2026-05-15
2762,世界健身-KY,502993,894,41891523,83.50,85.00,81.20,83.90,+,4.70,83.90,7,84.00,12,15.83,2026-05-15
2923,鼎固-KY,224680,850,5072233,23.90,25.00,21.90,21.90,-,2.35,21.85,4,22.30,13,-,2026-05-15
2929,淘帝-KY,291291,136,1606225,5.54,5.57,5.50,5.50,-,0.04,5.50,306,5.51,6,-,2026-05-15
2939,永邑-KY,24254,26,584244,24.60,24.85,23.70,23.70,-,0.90,23.55,1,23.80,2,-,2026-05-15
3661,世芯-KY,3193261,15844,15561657325,4870.00,5005.00,4720.00,4830.00,+,50.00,4825.00,5,4830.00,6,70.79,2026-05-15
3665,貿聯-KY,5373818,17966,12102164800,2250.00,2300.00,2250.00,2250.00,-,250.00,,,2250.00,3935,45.41,2026-05-15
3673,TPK-KY,47856504,30486,3166538402,69.00,69.10,64.20,64.30,-,2.30,64.30,115,64.40,75,23.73,2026-05-15
4137,麗豐-KY,161005,183,17129639,105.50,107.50,105.00,106.50,+,1.50,106.00,4,106.50,2,13.55,2026-05-15
4148,全宇生技-KY,251287,124,9081015,36.40,36.80,35.50,35.50,-,1.60,35.50,1,35.75,1,16.44,2026-05-15
4178,永笙-KY,593525,246,11237843,19.00,19.10,18.80,19.00,-,0.05,19.00,5,19.05,38,-,2026-05-15
4190,佐登-KY,22583,105,559295,24.80,25.10,24.60,24.60,-,0.15,24.55,2,24.75,1,-,2026-05-15
4439,冠星-KY,24355,23,2341480,96.50,97.10,95.80,96.40,+,1.10,96.40,1,97.00,2,11.64,2026-05-15
4552,力達-KY,118960,95,2367317,20.00,20.00,19.85,19.95,-,0.05,19.95,1,20.00,4,9.64,2026-05-15
4557,永新-KY,152376,166,7636967,50.80,51.00,49.75,49.85,-,0.95,49.85,1,49.90,1,-,2026-05-15
4560,強信-KY,227018,125,7969648,35.55,35.60,34.70,34.80,-,0.55,34.75,2,34.85,3,12.17,2026-05-15
4569,六方科-KY,1525676,2561,296172048,201.50,201.50,177.00,194.00,+,10.50,194.00,1,195.00,2,40.00,2026-05-15
4571,鈞興-KY,1983902,2434,401356537,195.00,208.00,194.00,204.50,+,13.50,204.50,7,205.00,18,22.70,2026-05-15
4581,光隆精密-KY,17040,17,848208,50.00,50.20,49.40,49.40,-,0.60,49.30,2,49.90,2,11.82,2026-05-15
4763,材料*-KY,6335377,3602,267555867,41.80,42.85,41.75,42.25,+,0.90,42.25,28,42.30,16,6.93,2026-05-15
4807,日成-KY,759528,821,20508215,27.50,27.55,25.20,25.20,+,0.15,25.20,1,25.30,10,18.39,2026-05-15
4912,聯德控股-KY,3701213,4291,378777175,102.00,109.00,99.20,104.50,,,104.00,19,104.50,31,54.43,2026-05-15
4927,泰鼎-KY,12136457,7001,611130419,50.80,51.60,49.10,50.40,-,0.40,50.40,113,50.50,127,-,2026-05-15
4935,茂林-KY,107335,79,3870901,36.00,36.45,36.00,36.05,,,36.05,5,36.10,4,26.31,2026-05-15
4943,康控-KY,45847,59,416819,9.03,9.33,9.02,9.33,+,0.03,9.33,1,9.48,1,-,2026-05-15
4958,臻鼎-KY,69591675,84209,31456551407,456.00,471.50,433.50,436.50,-,6.00,436.00,203,436.50,15,61.57,2026-05-15
4977,眾達-KY,12705072,12980,3051474828,244.50,248.00,233.50,235.50,-,8.00,235.50,74,236.00,31,53.28,2026-05-15
5215,科嘉-KY,3492242,2508,168598994,50.90,50.90,43.80,45.00,-,1.30,44.55,1,45.00,1,22.06,2026-05-15
5225,東科-KY,223860,258,15928406,71.80,71.80,70.80,70.80,-,0.70,70.80,20,71.00,1,7.65,2026-05-15
5243,乙盛-KY,3027294,2885,307679727,104.00,105.00,100.00,101.00,-,2.00,101.00,39,101.50,7,20.74,2026-05-15
5284,jpp-KY,2134244,3289,825215012,394.50,396.50,380.00,386.00,-,8.00,385.00,2,386.00,4,28.81,2026-05-15
