Date,Code,Name,Exdividend,StockDividendRatio,SubscriptionRatio,SubscriptionPricePerShare,CashDividend,SharesOffered,SharesEmpOwner,SharesholderOwner,StockHoldingRatio,date
1150519,00690,兆豐藍籌30,息,,,,1.400000,,,,,2026-05-15
1150519,00730,富邦臺灣優質高息,息,,,,,,,,,2026-05-15
1150520,00731,復華富時高息低波,息,,,,,,,,,2026-05-15
1150522,00771,元大US高息特別股,息,,,,,,,,,2026-05-15
1150518,00775B,新光投等債15+,息,,,,0.350000,,,,,2026-05-15
1150522,00850,元大臺灣ESG永續,息,,,,,,,,,2026-05-15
1150519,00878,國泰永續高股息,息,,,,0.660000,,,,,2026-05-15
1150519,00891,中信關鍵半導體,息,,,,,,,,,2026-05-15
1150519,00894,中信小資高價30,息,,,,,,,,,2026-05-15
1150519,00900,富邦特選高股息30,息,,,,,,,,,2026-05-15
1150520,00929,復華台灣科技優息,息,,,,,,,,,2026-05-15
1150526,00930,永豐ESG低碳高息,息,,,,,,,,,2026-05-15
1150519,00932,兆豐永續高息等權,息,,,,0.220000,,,,,2026-05-15
1150519,00934,中信成長高股息,息,,,,,,,,,2026-05-15
1150518,00936,台新永續高息中小,息,,,,0.100000,,,,,2026-05-15
1150519,00938,凱基優選30,息,,,,,,,,,2026-05-15
1150519,00943,兆豐電子高息等權,息,,,,0.090000,,,,,2026-05-15
1150519,00944,野村趨勢動能高息,息,,,,,,,,,2026-05-15
1150519,00945B,凱基美國非投等債,息,,,,,,,,,2026-05-15
1150519,00952,凱基台灣AI50,息,,,,,,,,,2026-05-15
1150519,00961,FT臺灣永續高息,息,,,,,,,,,2026-05-15
1150518,00962,台新AI優息動能,息,,,,0.050000,,,,,2026-05-15
1150519,00963,中信全球高股息,息,,,,,,,,,2026-05-15
1150519,00964,中信亞太高股息,息,,,,,,,,,2026-05-15
1150519,009808,華南永昌優選50,息,,,,,,,,,2026-05-15
1150519,00980A,主動野村臺灣優選,息,,,,,,,,,2026-05-15
1150519,00981T,平衡凱基雙核收息,息,,,,,,,,,2026-05-15
1150519,00982A,主動群益台灣強棒,息,,,,,,,,,2026-05-15
1150519,00982D,主動富邦動態入息,息,,,,,,,,,2026-05-15
1150519,00983D,主動富邦複合收益,息,,,,,,,,,2026-05-15
1150514,01002T,土銀國泰R1,息,,,,0.457505,,,,,2026-05-15
1150514,01007T,兆豐國泰R2,息,,,,0.216853,,,,,2026-05-15
1150527,1215,卜蜂,息,,,,7.000000,,,,,2026-05-15
1150622,1319,東陽,息,,,,5.000000,,,,,2026-05-15
1150602,1323,永裕,息,,,,0.900000,,,,,2026-05-15
1150527,1568,倉佑,息,,,,1.000000,,,,,2026-05-15
1150528,1702,南僑,息,,,,1.600000,,,,,2026-05-15
1150528,1708,東鹼,息,,,,1.600000,,,,,2026-05-15
1150615,2031,新光鋼,息,,,,2.500000,,,,,2026-05-15
1150617,2105,正新,息,,,,1.800000,,,,,2026-05-15
1150602,2313,華通,息,,,,2.800000,,,,,2026-05-15
1150615,2385,群光,息,,,,7.200000,,,,,2026-05-15
1150525,2426,鼎元,息,,,,0.100000,,,,,2026-05-15
1150617,2450,神腦,息,,,,1.550000,,,,,2026-05-15
1150525,2486,一詮,息,,,,0.498460,,,,,2026-05-15
1150601,2612,中航,息,,,,2.200000,,,,,2026-05-15
1150616,3015,全漢,息,,,,2.200000,,,,,2026-05-15
1150522,3257,虹冠電,息,,,,2.800000,,,,,2026-05-15
1150604,3356,奇偶,息,,,,3.500000,,,,,2026-05-15
1150527,3413,京鼎,息,,,,10.983792,,,,,2026-05-15
1150622,3447,展達,息,,,,1.100000,,,,,2026-05-15
1150624,3705,永信,息,,,,3.000000,,,,,2026-05-15
1150602,4555,氣立,息,,,,0.500000,,,,,2026-05-15
1150528,4585,達明,息,,,,1.000000,,,,,2026-05-15
1150629,4989,榮科,權,,0.25403461,尚未公告,0,3500000.00,3500000.00,28000000.00,203.22769122,2026-05-15
1150625,5522,遠雄,息,,,,5.500000,,,,,2026-05-15
1150622,6120,達運,息,,,,0.250000,,,,,2026-05-15
1150601,6176,瑞儀,息,,,,3.500000,,,,,2026-05-15
1150609,6412,群電,息,,,,3.700000,,,,,2026-05-15
1150701,6655,科定,息,,,,4.800000,,,,,2026-05-15
1150706,6754,匯僑設計,息,,,,3.500000,,,,,2026-05-15
1150514,8033,雷虎,權,,0.07862161,108.0000,0,1200000.00,1200000.00,9600000.00,62.89729510,2026-05-15
1150602,8487,愛爾達-創,息,,,,4.806000,,,,,2026-05-15
1150519,00690,兆豐藍籌30,息,,,,1.400000,,,,,2026-05-15
1150519,00730,富邦臺灣優質高息,息,,,,,,,,,2026-05-15
1150520,00731,復華富時高息低波,息,,,,,,,,,2026-05-15
1150522,00771,元大US高息特別股,息,,,,,,,,,2026-05-15
