Code,Name,TradeVolume,Transaction,TradeValue,TradePrice,BestBidPrice,BestBidVolume,BestAskPrice,BestAskVolume,date
00400A,主動國泰動能高息,3094,45,42769,13.8300,13.8200,34352,13.8300,2666,2026-05-15
00401A,主動摩根台灣鑫收,200,1,2568,12.8400,12.8300,3516,12.8400,4100,2026-05-15
00403A,主動統一升級50,232361,1049,2379042,10.2400,10.2300,108101,10.2400,1103623,2026-05-15
0050,元大台灣50,59899,776,5758987,96.1500,96.1500,1451332,96.2000,19984,2026-05-15
0051,元大中型100,393,10,52030,132.4000,132.2500,739,132.4000,2532,2026-05-15
0052,富邦科技,11346,116,642156,56.6000,56.6000,18487,56.6500,6699,2026-05-15
0053,元大電子,31,2,6926,223.4500,223.1000,212,223.4500,1036,2026-05-15
0055,元大MSCI金融,416,6,14012,33.6900,33.6900,3479,33.7000,1414,2026-05-15
0056,元大高股息,29533,329,1334817,45.2000,45.2000,54837,45.2100,20521,2026-05-15
0057,富邦摩台,12,1,3445,287.1000,286.5000,226,287.1000,1105,2026-05-15
0061,元大寶滬深,,,,,25.3900,5906,25.4500,2315,2026-05-15
006203,元大MSCI台灣,,,,,175.4000,261,176.0000,1584,2026-05-15
006204,永豐臺灣加權,,,,,205.9500,400,209.4500,1504,2026-05-15
006205,富邦上証,,,,,42.0700,6051,42.1500,2237,2026-05-15
006206,元大上證50,82,1,3100,37.8100,37.8100,1038,38.2000,559,2026-05-15
006207,復華滬深,,,,,34.0300,6460,34.1300,1713,2026-05-15
006208,富邦台50,9864,168,2194712,222.5000,222.4500,5208,222.5000,8364,2026-05-15
00625K,富邦上証+R,,,,,,,,,2026-05-15
00631L,元大台灣50正2,51743,171,1660900,32.1000,32.1000,65804,32.1100,22181,2026-05-15
00632R,元大台灣50反1,3809,25,42994,11.2900,11.2900,4644,11.3000,25630,2026-05-15
00633L,富邦上証正2,,,,,54.0000,3779,54.2000,325,2026-05-15
00634R,富邦上証反1,,,,,3.0000,5030,3.0300,8339,2026-05-15
00635U,期元大S&P黃金,1245,25,61269,49.2200,49.2200,5276,49.2400,3822,2026-05-15
00636,國泰中國A50,,,,,29.0700,3615,29.1900,1845,2026-05-15
