TWSECode,TWSEAvailableVolume,GRETAICode,GRETAIAvailableVolume,date
00400A,"30,982,989",006201,"172,830",2026-05-15
00401A,"6,318,314",00679B,"10,934,152",2026-05-15
00403A,"895,375,572",00687B,"7,329,783",2026-05-15
0050,"35,615,902",00694B,"138,323",2026-05-15
0051,"33,222",00695B,"58,177",2026-05-15
0052,"14,744,926",00696B,"1,221,008",2026-05-15
0053,"9,304",00697B,"131,943",2026-05-15
0055,"94,580",00719B,"982,675",2026-05-15
0056,"25,011,819",00720B,"2,246,181",2026-05-15
0057,"10,671",00722B,"969,996",2026-05-15
0061,"91,996",00723B,"47,676",2026-05-15
006203,"5,220",00724B,"1,180,321",2026-05-15
006204,"6,925",00725B,"1,660,361",2026-05-15
006205,"147,677",00726B,"208,180",2026-05-15
006206,"25,921",00727B,"54,905",2026-05-15
006207,"80,285",00734B,"41,211",2026-05-15
006208,"1,659,628",00740B,"908,016",2026-05-15
00631L,"66,324,860",00741B,"48,954",2026-05-15
00632R,"37,360,986",00746B,"374,978",2026-05-15
00633L,"969,954",00749B,"34,475",2026-05-15
00634R,"145,619",00750B,"34,022",2026-05-15
00635U,"1,584,140",00751B,"2,033,445",2026-05-15
00636,"233,458",00754B,"49,577",2026-05-15
00637L,"7,856,034",00755B,"52,552",2026-05-15
00638R,"227,921",00756B,"61,064",2026-05-15
00639,"272,600",00758B,"31,828",2026-05-15
00640L,"144,000",00759B,"32,496",2026-05-15
00641R,"525,290",00760B,"37,631",2026-05-15
00642U,"5,695,994",00761B,"123,634",2026-05-15
00643,"810,365",00764B,"2,158,871",2026-05-15
00645,"80,118",00768B,"147,670",2026-05-15
00646,"977,366",00772B,"898,187",2026-05-15
00647L,"42,974",00773B,"362,056",2026-05-15
00648R,"311,049",00777B,"32,804",2026-05-15
00650L,"1,372,317",00778B,"32,176",2026-05-15
00651R,"92,360",00779B,"137,280",2026-05-15
00652,"137,970",00780B,"48,889",2026-05-15
00653L,"159,187",00781B,"48,910",2026-05-15
00654R,"31,721",00782B,"57,517",2026-05-15
00655L,"425,382",00785B,"804,539",2026-05-15
00656R,"82,905",00786B,"25,996",2026-05-15
00657,"46,882",00787B,"10,605",2026-05-15
00660,"8,347",00788B,"20,153",2026-05-15
00661,"51,807",00789B,"33,830",2026-05-15
00662,"1,472,575",00791B,"31,885",2026-05-15
00663L,"3,574,829",00792B,"41,023",2026-05-15
00664R,"8,691,124",00793B,"32,973",2026-05-15
00665L,"4,897,459",00795B,"2,411,211",2026-05-15
00666R,"27,222",00799B,"84,999",2026-05-15
00668,"52,830",00834B,"30,933",2026-05-15
00669R,"359,730",00836B,"4,195",2026-05-15
00670L,"521,142",00840B,"31,871",2026-05-15
00671R,"1,951,865",00841B,"30,198",2026-05-15
00673R,"11,669,503",00842B,"81,726",2026-05-15
00675L,"951,920",00844B,"30,919",2026-05-15
00676R,"2,192,745",00845B,"30,819",2026-05-15
00678,"92,028",00846B,"29,569",2026-05-15
00680L,"5,962,452",00847B,"96,839",2026-05-15
00681R,"14,989",00848B,"90,862",2026-05-15
00682U,"3,201",00849B,"97,290",2026-05-15
00683L,"41,885",00853B,"331,089",2026-05-15
00684R,"7,941",00856B,"4,925",2026-05-15
00685L,"451,733",00857B,"692,137",2026-05-15
00686R,"2,020,882",00858,"302,379",2026-05-15
00688L,"2,275,947",00859B,"823,152",2026-05-15
00689R,"35,907",00860B,"35,783",2026-05-15
