Number,Code,Name,TradingHaltDate,TradingHaltTime,TradingResumptionDate,TradingResumptionTime,date
1,033641,正崴統一58購01,1150513,080000,1150514,080000,2026-05-15
2,033642,正崴統一5C購01,1150513,080000,1150514,080000,2026-05-15
3,040421,正崴國票55購01,1150513,080000,,,2026-05-15
4,040613,正崴統一6A購01,1150513,080000,1150514,080000,2026-05-15
5,045495,正崴國票56購01,1150513,080000,1150514,080000,2026-05-15
6,047768,正崴元富56購01,1150513,080000,1150514,080000,2026-05-15
7,053051,正崴凱基57購01,1150513,080000,1150514,080000,2026-05-15
8,053626,正崴永豐57購01,1150513,080000,1150514,080000,2026-05-15
9,054629,正崴元富57購01,1150513,080000,1150514,080000,2026-05-15
10,059401,正崴統一55購02,1150513,080000,1150514,080000,2026-05-15
11,059407,永崴控統一55購01,1150513,080000,1150514,080000,2026-05-15
12,060293,正崴國票5A購01,1150513,080000,1150514,080000,2026-05-15
13,060593,正崴凱基5A購01,1150513,080000,1150514,080000,2026-05-15
14,061980,正崴元富59購01,1150513,080000,1150514,080000,2026-05-15
15,062352,正崴永豐5C購01,1150513,080000,1150514,080000,2026-05-15
16,062475,正崴元大5A購01,1150513,080000,1150514,080000,2026-05-15
17,074435,永崴控統一56購01,1150513,080000,1150514,080000,2026-05-15
18,081121,永崴控統一57購01,1150513,080000,1150514,080000,2026-05-15
19,083183,正崴統一56購01,1150513,080000,1150514,080000,2026-05-15
20,083334,正崴統一56購02,1150513,080000,1150514,080000,2026-05-15
21,2392,正崴,1150513,080000,1150514,080000,2026-05-15
22,3712,永崴投控,1150513,080000,1150514,080000,2026-05-15
23,6806,森崴能源,1150513,080000,1150514,080000,2026-05-15
1,033641,正崴統一58購01,1150513,080000,1150514,080000,2026-05-15
2,033642,正崴統一5C購01,1150513,080000,1150514,080000,2026-05-15
3,040421,正崴國票55購01,1150513,080000,,,2026-05-15
4,040613,正崴統一6A購01,1150513,080000,1150514,080000,2026-05-15
5,045495,正崴國票56購01,1150513,080000,1150514,080000,2026-05-15
6,047768,正崴元富56購01,1150513,080000,1150514,080000,2026-05-15
7,053051,正崴凱基57購01,1150513,080000,1150514,080000,2026-05-15
8,053626,正崴永豐57購01,1150513,080000,1150514,080000,2026-05-15
9,054629,正崴元富57購01,1150513,080000,1150514,080000,2026-05-15
10,059401,正崴統一55購02,1150513,080000,1150514,080000,2026-05-15
11,059407,永崴控統一55購01,1150513,080000,1150514,080000,2026-05-15
12,060293,正崴國票5A購01,1150513,080000,1150514,080000,2026-05-15
13,060593,正崴凱基5A購01,1150513,080000,1150514,080000,2026-05-15
14,061980,正崴元富59購01,1150513,080000,1150514,080000,2026-05-15
15,062352,正崴永豐5C購01,1150513,080000,1150514,080000,2026-05-15
16,062475,正崴元大5A購01,1150513,080000,1150514,080000,2026-05-15
17,074435,永崴控統一56購01,1150513,080000,1150514,080000,2026-05-15
18,081121,永崴控統一57購01,1150513,080000,1150514,080000,2026-05-15
19,083183,正崴統一56購01,1150513,080000,1150514,080000,2026-05-15
20,083334,正崴統一56購02,1150513,080000,1150514,080000,2026-05-15
21,2392,正崴,1150513,080000,1150514,080000,2026-05-15
22,3712,永崴投控,1150513,080000,1150514,080000,2026-05-15
23,6806,森崴能源,1150513,080000,1150514,080000,2026-05-15
1,033641,正崴統一58購01,1150513,080000,1150514,080000,2026-05-17
2,033642,正崴統一5C購01,1150513,080000,1150514,080000,2026-05-17
3,040421,正崴國票55購01,1150513,080000,,,2026-05-17
4,040613,正崴統一6A購01,1150513,080000,1150514,080000,2026-05-17
5,045495,正崴國票56購01,1150513,080000,1150514,080000,2026-05-17
6,047768,正崴元富56購01,1150513,080000,1150514,080000,2026-05-17
7,053051,正崴凱基57購01,1150513,080000,1150514,080000,2026-05-17
8,053626,正崴永豐57購01,1150513,080000,1150514,080000,2026-05-17
9,054629,正崴元富57購01,1150513,080000,1150514,080000,2026-05-17
10,059401,正崴統一55購02,1150513,080000,1150514,080000,2026-05-17
11,059407,永崴控統一55購01,1150513,080000,1150514,080000,2026-05-17
12,060293,正崴國票5A購01,1150513,080000,1150514,080000,2026-05-17
13,060593,正崴凱基5A購01,1150513,080000,1150514,080000,2026-05-17
14,061980,正崴元富59購01,1150513,080000,1150514,080000,2026-05-17
15,062352,正崴永豐5C購01,1150513,080000,1150514,080000,2026-05-17
16,062475,正崴元大5A購01,1150513,080000,1150514,080000,2026-05-17
17,074435,永崴控統一56購01,1150513,080000,1150514,080000,2026-05-17
18,081121,永崴控統一57購01,1150513,080000,1150514,080000,2026-05-17
19,083183,正崴統一56購01,1150513,080000,1150514,080000,2026-05-17
20,083334,正崴統一56購02,1150513,080000,1150514,080000,2026-05-17
21,2392,正崴,1150513,080000,1150514,080000,2026-05-17
22,3712,永崴投控,1150513,080000,1150514,080000,2026-05-17
23,6806,森崴能源,1150513,080000,1150514,080000,2026-05-17
1,033641,正崴統一58購01,1150513,080000,1150514,080000,2026-05-17
2,033642,正崴統一5C購01,1150513,080000,1150514,080000,2026-05-17
3,040421,正崴國票55購01,1150513,080000,,,2026-05-17
4,040613,正崴統一6A購01,1150513,080000,1150514,080000,2026-05-17
5,045495,正崴國票56購01,1150513,080000,1150514,080000,2026-05-17
6,047768,正崴元富56購01,1150513,080000,1150514,080000,2026-05-17
7,053051,正崴凱基57購01,1150513,080000,1150514,080000,2026-05-17
8,053626,正崴永豐57購01,1150513,080000,1150514,080000,2026-05-17
9,054629,正崴元富57購01,1150513,080000,1150514,080000,2026-05-17
10,059401,正崴統一55購02,1150513,080000,1150514,080000,2026-05-17
11,059407,永崴控統一55購01,1150513,080000,1150514,080000,2026-05-17
12,060293,正崴國票5A購01,1150513,080000,1150514,080000,2026-05-17
13,060593,正崴凱基5A購01,1150513,080000,1150514,080000,2026-05-17
14,061980,正崴元富59購01,1150513,080000,1150514,080000,2026-05-17
15,062352,正崴永豐5C購01,1150513,080000,1150514,080000,2026-05-17
16,062475,正崴元大5A購01,1150513,080000,1150514,080000,2026-05-17
17,074435,永崴控統一56購01,1150513,080000,1150514,080000,2026-05-17
18,081121,永崴控統一57購01,1150513,080000,1150514,080000,2026-05-17
19,083183,正崴統一56購01,1150513,080000,1150514,080000,2026-05-17
20,083334,正崴統一56購02,1150513,080000,1150514,080000,2026-05-17
21,2392,正崴,1150513,080000,1150514,080000,2026-05-17
22,3712,永崴投控,1150513,080000,1150514,080000,2026-05-17
23,6806,森崴能源,1150513,080000,1150514,080000,2026-05-17
1,033641,正崴統一58購01,1150513,080000,1150514,080000,2026-05-18
2,033642,正崴統一5C購01,1150513,080000,1150514,080000,2026-05-18
3,040421,正崴國票55購01,1150513,080000,,,2026-05-18
4,040613,正崴統一6A購01,1150513,080000,1150514,080000,2026-05-18
5,045495,正崴國票56購01,1150513,080000,1150514,080000,2026-05-18
6,047768,正崴元富56購01,1150513,080000,1150514,080000,2026-05-18
7,053051,正崴凱基57購01,1150513,080000,1150514,080000,2026-05-18
8,053626,正崴永豐57購01,1150513,080000,1150514,080000,2026-05-18
9,054629,正崴元富57購01,1150513,080000,1150514,080000,2026-05-18
10,059401,正崴統一55購02,1150513,080000,1150514,080000,2026-05-18
11,059407,永崴控統一55購01,1150513,080000,1150514,080000,2026-05-18
12,060293,正崴國票5A購01,1150513,080000,1150514,080000,2026-05-18
13,060593,正崴凱基5A購01,1150513,080000,1150514,080000,2026-05-18
14,061980,正崴元富59購01,1150513,080000,1150514,080000,2026-05-18
15,062352,正崴永豐5C購01,1150513,080000,1150514,080000,2026-05-18
16,062475,正崴元大5A購01,1150513,080000,1150514,080000,2026-05-18
17,074435,永崴控統一56購01,1150513,080000,1150514,080000,2026-05-18
18,081121,永崴控統一57購01,1150513,080000,1150514,080000,2026-05-18
19,083183,正崴統一56購01,1150513,080000,1150514,080000,2026-05-18
20,083334,正崴統一56購02,1150513,080000,1150514,080000,2026-05-18
21,2392,正崴,1150513,080000,1150514,080000,2026-05-18
22,3712,永崴投控,1150513,080000,1150514,080000,2026-05-18
23,6806,森崴能源,1150513,080000,1150514,080000,2026-05-18
