Date,Code,Name,Suspension,date
1150515,00400A,主動國泰動能高息,,2026-05-15
1150515,00401A,主動摩根台灣鑫收,,2026-05-15
1150515,00403A,主動統一升級50,,2026-05-15
1150515,0050,元大台灣50,,2026-05-15
1150515,0051,元大中型100,,2026-05-15
1150515,0052,富邦科技,,2026-05-15
1150515,0053,元大電子,,2026-05-15
1150515,0055,元大MSCI金融,,2026-05-15
1150515,0056,元大高股息,,2026-05-15
1150515,0057,富邦摩台,,2026-05-15
1150515,0061,元大寶滬深,,2026-05-15
1150515,006203,元大MSCI台灣,,2026-05-15
1150515,006204,永豐臺灣加權,,2026-05-15
1150515,006205,富邦上証,,2026-05-15
1150515,006206,元大上證50,,2026-05-15
1150515,006207,復華滬深,,2026-05-15
1150515,006208,富邦台50,,2026-05-15
1150515,00631L,元大台灣50正2,,2026-05-15
1150515,00632R,元大台灣50反1,,2026-05-15
1150515,00633L,富邦上証正2,,2026-05-15
1150515,00634R,富邦上証反1,,2026-05-15
1150515,00635U,期元大S&P黃金,,2026-05-15
1150515,00636,國泰中國A50,,2026-05-15
1150515,00637L,元大滬深300正2,,2026-05-15
1150515,00638R,元大滬深300反1,,2026-05-15
1150515,00639,富邦深100,,2026-05-15
1150515,00640L,富邦日本正2,,2026-05-15
1150515,00641R,富邦日本反1,,2026-05-15
1150515,00642U,期元大S&P石油,,2026-05-15
1150515,00643,群益深証中小,,2026-05-15
1150515,00645,富邦日本,,2026-05-15
1150515,00646,元大S&P500,,2026-05-15
1150515,00647L,元大S&P500正2,,2026-05-15
1150515,00648R,元大S&P500反1,,2026-05-15
1150515,00650L,復華香港正2,,2026-05-15
1150515,00651R,復華香港反1,,2026-05-15
1150515,00652,富邦印度,,2026-05-15
1150515,00653L,富邦印度正2,,2026-05-15
1150515,00654R,富邦印度反1,,2026-05-15
1150515,00655L,國泰中國A50正2,,2026-05-15
1150515,00656R,國泰中國A50反1,,2026-05-15
1150515,00657,國泰日經225,,2026-05-15
1150515,00660,元大歐洲50,,2026-05-15
1150515,00661,元大日經225,,2026-05-15
1150515,00662,富邦NASDAQ,,2026-05-15
1150515,00663L,國泰臺灣加權正2,,2026-05-15
1150515,00664R,國泰臺灣加權反1,,2026-05-15
1150515,00665L,富邦恒生國企正2,,2026-05-15
1150515,00666R,富邦恒生國企反1,,2026-05-15
1150515,00668,國泰美國道瓊,,2026-05-15
1150515,00669R,國泰美國道瓊反1,,2026-05-15
1150515,00670L,富邦NASDAQ正2,,2026-05-15
1150515,00671R,富邦NASDAQ反1,,2026-05-15
1150515,00673R,期元大S&P原油反1,,2026-05-15
1150515,00675L,富邦臺灣加權正2,,2026-05-15
1150515,00676R,富邦臺灣加權反1,,2026-05-15
1150515,00678,群益那斯達克生技,,2026-05-15
1150515,00680L,元大美債20正2,,2026-05-15
1150515,00681R,元大美債20反1,,2026-05-15
1150515,00682U,期元大美元指數,,2026-05-15
1150515,00683L,期元大美元指正2,,2026-05-15
1150515,00684R,期元大美元指反1,,2026-05-15
1150515,00685L,群益臺灣加權正2,,2026-05-15
1150515,00686R,群益臺灣加權反1,,2026-05-15
1150515,00688L,國泰20年美債正2,,2026-05-15
1150515,00689R,國泰20年美債反1,,2026-05-15
1150515,00690,兆豐藍籌30,Y,2026-05-15
1150515,00692,富邦公司治理,,2026-05-15
1150515,00693U,期街口S&P黃豆,,2026-05-15
1150515,00700,富邦恒生國企,,2026-05-15
1150515,00701,國泰股利精選30,,2026-05-15
1150515,00702,國泰標普低波高息,,2026-05-15
1150515,00703,台新MSCI中國,,2026-05-15
1150515,00706L,期元大S&P日圓正2,,2026-05-15
1150515,00707R,期元大S&P日圓反1,,2026-05-15
1150515,00708L,期元大S&P黃金正2,,2026-05-15
1150515,00709,富邦歐洲,,2026-05-15
1150515,00710B,復華彭博非投等債,,2026-05-15
1150515,00711B,復華彭博新興債,,2026-05-15
1150515,00712,復華富時不動產,,2026-05-15
1150515,00713,元大台灣高息低波,,2026-05-15
1150515,00714,群益道瓊美國地產,,2026-05-15
1150515,00715L,期街口S&P布蘭特油正2,,2026-05-15
1150515,00717,富邦美國特別股,,2026-05-15
1150515,00728,第一金工業30,,2026-05-15
1150515,00730,富邦臺灣優質高息,Y,2026-05-15
1150515,00731,復華富時高息低波,Y,2026-05-15
1150515,00733,富邦臺灣中小,,2026-05-15
1150515,00735,國泰臺韓科技,,2026-05-15
1150515,00736,國泰新興市場,,2026-05-15
1150515,00737,國泰AI機器人,,2026-05-15
1150515,00738U,期元大道瓊白銀,,2026-05-15
1150515,00739,元大MSCI A股,,2026-05-15
1150515,00752,中信中國50,,2026-05-15
1150515,00753L,中信中國50正2,,2026-05-15
1150515,00757,統一FANG+,,2026-05-15
1150515,00762,元大全球AI,,2026-05-15
1150515,00763U,期街口道瓊銅,,2026-05-15
1150515,00770,國泰北美科技,,2026-05-15
1150515,00771,元大US高息特別股,,2026-05-15
1150515,00775B,新光投等債15+,Y,2026-05-15
1150515,00783,富邦中証500,,2026-05-15
1150515,00830,國泰費城半導體,,2026-05-15
1150515,00850,元大臺灣ESG永續,,2026-05-15
1150515,00851,台新全球AI,,2026-05-15
1150515,00852L,國泰美國道瓊正2,,2026-05-15
1150515,00861,元大全球未來通訊,,2026-05-15
1150515,00865B,國泰US短期公債,,2026-05-15
1150515,00875,國泰網路資安,,2026-05-15
1150515,00876,元大全球5G,,2026-05-15
1150515,00878,國泰永續高股息,Y,2026-05-15
1150515,00881,國泰台灣科技龍頭,,2026-05-15
1150515,00882,中信中國高股息,,2026-05-15
1150515,00885,富邦越南,,2026-05-15
1150515,00891,中信關鍵半導體,Y,2026-05-15
1150515,00892,富邦台灣半導體,,2026-05-15
1150515,00893,國泰智能電動車,,2026-05-15
1150515,00894,中信小資高價30,Y,2026-05-15
1150515,00895,富邦未來車,,2026-05-15
1150515,00896,中信綠能及電動車,,2026-05-15
1150515,00897,富邦基因免疫生技,,2026-05-15
1150515,00898,國泰基因免疫革命,,2026-05-15
1150515,00899,FT潔淨能源,,2026-05-15
1150515,00900,富邦特選高股息30,Y,2026-05-15
1150515,00901,永豐智能車供應鏈,,2026-05-15
1150515,00902,中信電池及儲能,,2026-05-15
1150515,00903,富邦元宇宙,,2026-05-15
1150515,00904,新光臺灣半導體30,,2026-05-15
1150515,00905,FT臺灣SMART,,2026-05-15
1150515,00907,永豐優息存股,,2026-05-15
1150515,00908,富邦入息REITs+,,2026-05-15
1150515,00909,國泰數位支付服務,,2026-05-15
1150515,00910,第一金太空衛星,,2026-05-15
1150515,00911,兆豐洲際半導體,,2026-05-15
1150515,00912,中信臺灣智慧50,,2026-05-15
1150515,00913,兆豐台灣晶圓製造,,2026-05-15
1150515,00915,凱基優選高股息30,,2026-05-15
1150515,00916,國泰全球品牌50,,2026-05-15
1150515,00917,中信特選金融,,2026-05-15
1150515,00918,大華優利高填息30,,2026-05-15
1150515,00919,群益台灣精選高息,,2026-05-15
1150515,00920,富邦ESG綠色電力,,2026-05-15
1150515,00921,兆豐龍頭等權重,,2026-05-15
