Code,Name,StartDate,EndDate,Reason,date
00690,兆豐藍籌30,1150514,1150520,分配收益,2026-05-15
00730,富邦臺灣優質高息,1150514,1150520,分配收益,2026-05-15
00731,復華富時高息低波,1150515,1150521,分配收益,2026-05-15
00775B,新光投等債15+,1150513,1150519,分配收益,2026-05-15
00878,國泰永續高股息,1150514,1150520,分配收益,2026-05-15
00891,中信關鍵半導體,1150514,1150520,分配收益,2026-05-15
00894,中信小資高價30,1150514,1150520,分配收益,2026-05-15
00900,富邦特選高股息30,1150514,1150520,分配收益,2026-05-15
00929,復華台灣科技優息,1150515,1150521,分配收益,2026-05-15
00932,兆豐永續高息等權,1150514,1150520,分配收益,2026-05-15
00934,中信成長高股息,1150514,1150520,分配收益,2026-05-15
00936,台新永續高息中小,1150513,1150519,分配收益,2026-05-15
00938,凱基優選30,1150514,1150520,分配收益,2026-05-15
00943,兆豐電子高息等權,1150514,1150520,分配收益,2026-05-15
00944,野村趨勢動能高息,1150514,1150520,分配收益,2026-05-15
00945B,凱基美國非投等債,1150514,1150520,分配收益,2026-05-15
00952,凱基台灣AI50,1150514,1150520,分配收益,2026-05-15
00961,FT臺灣永續高息,1150514,1150520,分配收益,2026-05-15
00962,台新AI優息動能,1150513,1150519,分配收益,2026-05-15
00963,中信全球高股息,1150514,1150520,分配收益,2026-05-15
00964,中信亞太高股息,1150514,1150520,分配收益,2026-05-15
009808,華南永昌優選50,1150514,1150520,分配收益,2026-05-15
00980A,主動野村臺灣優選,1150514,1150520,分配收益,2026-05-15
00981T,平衡凱基雙核收息,1150514,1150520,分配收益,2026-05-15
00982A,主動群益台灣強棒,1150514,1150520,分配收益,2026-05-15
00982D,主動富邦動態入息,1150514,1150520,分配收益,2026-05-15
00983D,主動富邦複合收益,1150514,1150520,分配收益,2026-05-15
8033,雷虎,1150511,1150515,現金增資,2026-05-15
00690,兆豐藍籌30,1150514,1150520,分配收益,2026-05-15
00730,富邦臺灣優質高息,1150514,1150520,分配收益,2026-05-15
00731,復華富時高息低波,1150515,1150521,分配收益,2026-05-15
00775B,新光投等債15+,1150513,1150519,分配收益,2026-05-15
00878,國泰永續高股息,1150514,1150520,分配收益,2026-05-15
00891,中信關鍵半導體,1150514,1150520,分配收益,2026-05-15
00894,中信小資高價30,1150514,1150520,分配收益,2026-05-15
00900,富邦特選高股息30,1150514,1150520,分配收益,2026-05-15
00929,復華台灣科技優息,1150515,1150521,分配收益,2026-05-15
00932,兆豐永續高息等權,1150514,1150520,分配收益,2026-05-15
00934,中信成長高股息,1150514,1150520,分配收益,2026-05-15
00936,台新永續高息中小,1150513,1150519,分配收益,2026-05-15
00938,凱基優選30,1150514,1150520,分配收益,2026-05-15
00943,兆豐電子高息等權,1150514,1150520,分配收益,2026-05-15
00944,野村趨勢動能高息,1150514,1150520,分配收益,2026-05-15
00945B,凱基美國非投等債,1150514,1150520,分配收益,2026-05-15
00952,凱基台灣AI50,1150514,1150520,分配收益,2026-05-15
00961,FT臺灣永續高息,1150514,1150520,分配收益,2026-05-15
00962,台新AI優息動能,1150513,1150519,分配收益,2026-05-15
00963,中信全球高股息,1150514,1150520,分配收益,2026-05-15
00964,中信亞太高股息,1150514,1150520,分配收益,2026-05-15
009808,華南永昌優選50,1150514,1150520,分配收益,2026-05-15
00980A,主動野村臺灣優選,1150514,1150520,分配收益,2026-05-15
00981T,平衡凱基雙核收息,1150514,1150520,分配收益,2026-05-15
00982A,主動群益台灣強棒,1150514,1150520,分配收益,2026-05-15
00982D,主動富邦動態入息,1150514,1150520,分配收益,2026-05-15
00983D,主動富邦複合收益,1150514,1150520,分配收益,2026-05-15
8033,雷虎,1150511,1150515,現金增資,2026-05-15
00690,兆豐藍籌30,1150514,1150520,分配收益,2026-05-17
00730,富邦臺灣優質高息,1150514,1150520,分配收益,2026-05-17
00731,復華富時高息低波,1150515,1150521,分配收益,2026-05-17
00775B,新光投等債15+,1150513,1150519,分配收益,2026-05-17
00878,國泰永續高股息,1150514,1150520,分配收益,2026-05-17
00891,中信關鍵半導體,1150514,1150520,分配收益,2026-05-17
00894,中信小資高價30,1150514,1150520,分配收益,2026-05-17
00900,富邦特選高股息30,1150514,1150520,分配收益,2026-05-17
00929,復華台灣科技優息,1150515,1150521,分配收益,2026-05-17
