出表日期,類型,上漲,漲停,下跌,跌停,持平,未成交,無比價,date
1150514,整體市場,6492,374,5910,247,611,15639,2724,2026-05-15
1150514,股票,335,29,677,9,57,1,4,2026-05-15
1150514,整體市場,6492,374,5910,247,611,15639,2724,2026-05-15
1150514,股票,335,29,677,9,57,1,4,2026-05-15
1150515,整體市場,4246,152,8579,412,530,14990,2621,2026-05-17
1150515,股票,245,23,770,12,56,2,1,2026-05-17
1150515,整體市場,4246,152,8579,412,530,14990,2621,2026-05-17
1150515,股票,245,23,770,12,56,2,1,2026-05-17
1150515,整體市場,4246,152,8579,412,530,14990,2621,2026-05-18
1150515,股票,245,23,770,12,56,2,1,2026-05-18
