出表日期,交易日期,權證代號,權證名稱,成交金額,成交張數,date
1150514,1150514,038145,欣興中信55購01,0.00,0,2026-05-15
1150514,1150514,038146,臺股指中信59購03,0.00,0,2026-05-15
1150514,1150514,038331,廣宇中信57購01,0.00,0,2026-05-15
1150514,1150514,038335,富世達中信56購01,0.00,0,2026-05-15
1150514,1150514,038334,群創中信56購01,167000.00,10000,2026-05-15
1150514,1150514,038329,鴻海中信59購02,139860.00,305000,2026-05-15
1150514,1150514,038539,鴻海中信61購01,0.00,0,2026-05-15
1150514,1150514,038336,南電中信59購01,15600.00,1000,2026-05-15
1150514,1150514,038538,美時中信5A購01,45340.00,436000,2026-05-15
1150514,1150514,038540,國巨中信5A購01,53200.00,7000,2026-05-15
1150514,1150514,038332,旺宏中信56購01,0.00,0,2026-05-15
1150514,1150514,038328,川湖中信56購01,0.00,0,2026-05-15
1150514,1150514,038744,世芯中信58購01,0.00,0,2026-05-15
1150514,1150514,038542,世芯中信5A購01,15700.00,10000,2026-05-15
1150514,1150514,038738,光寶科中信57購01,14300.00,26000,2026-05-15
1150514,1150514,038739,英業達中信57購01,381800.00,600000,2026-05-15
1150514,1150514,038543,台達電兆豐56購01,0.00,0,2026-05-15
1150514,1150514,038743,創意中信58購01,0.00,0,2026-05-15
1150514,1150514,038742,緯創中信57購01,2400.00,20000,2026-05-15
1150514,1150514,039040,華邦電中信5A購01,880000.00,20000,2026-05-15
1150514,1150514,039042,聯發科中信5A購01,0.00,0,2026-05-15
1150514,1150514,039044,神達中信5A購01,0.00,0,2026-05-15
1150514,1150514,039041,技嘉中信57購01,720.00,3000,2026-05-15
1150514,1150514,039358,奇鋐中信58購01,0.00,0,2026-05-15
1150514,1150514,039354,台達電中信5A購01,0.00,0,2026-05-15
1150514,1150514,039355,台積電中信5A購01,0.00,0,2026-05-15
1150514,1150514,039353,T50反1中信5A購02,0.00,0,2026-05-15
1150514,1150514,039359,愛普中信56購01,0.00,0,2026-05-15
1150514,1150514,039578,嘉晶中信57購01,23000.00,2000,2026-05-15
1150514,1150514,039575,T50反1中信64購01,0.00,0,2026-05-15
1150514,1150514,039577,友達中信56購01,204950.00,255000,2026-05-15
1150514,1150514,046192,台泥兆豐5B購01,9650.00,5000,2026-05-15
1150514,1150514,046375,聯發科中信5B購03,0.00,0,2026-05-15
1150514,1150514,046376,聯發科中信5B購04,0.00,0,2026-05-15
1150514,1150514,046379,緯穎中信5B購02,22530.00,33000,2026-05-15
1150514,1150514,046378,貿聯中信58購01,6360.00,3000,2026-05-15
1150514,1150514,046377,奇鋐中信57購03,0.00,0,2026-05-15
1150514,1150514,046579,旺宏中信5A購01,0.00,0,2026-05-15
1150514,1150514,046582,欣興中信59購03,0.00,0,2026-05-15
1150514,1150514,046580,金像電中信5C購01,4840.00,2000,2026-05-15
1150514,1150514,046578,南亞中信56購02,0.00,0,2026-05-15
1150514,1150514,046581,聯發科中信5C購01,0.00,0,2026-05-15
1150514,1150514,046627,一詮兆豐58購01,47550.00,5000,2026-05-15
1150514,1150514,046629,世芯兆豐58購01,130220.00,59000,2026-05-15
1150514,1150514,046626,可成兆豐58購01,4200.00,10000,2026-05-15
1150514,1150514,046785,富世達中信5A購01,0.00,0,2026-05-15
1150514,1150514,046783,富邦金中信56購01,0.00,0,2026-05-15
1150514,1150514,046781,智邦中信5C購01,0.00,0,2026-05-15
1150514,1150514,046782,智邦中信5C購02,0.00,0,2026-05-15
1150514,1150514,046784,AES中信5B購02,70550.00,435000,2026-05-15
1150514,1150514,046786,台虹中信59購01,4350.00,1000,2026-05-15
1150514,1150514,050490,台光電中信56購03,0.00,0,2026-05-15
1150514,1150514,050486,元金2X中信5C購01,0.00,0,2026-05-15
1150514,1150514,050489,金像電中信5C購05,0.00,0,2026-05-15
1150514,1150514,050491,長榮太中信58購01,31980.00,78000,2026-05-15
1150514,1150514,050494,健鼎中信58購01,3120.00,1000,2026-05-15
1150514,1150514,050493,奇鋐中信58購02,0.00,0,2026-05-15
1150514,1150514,050495,創意中信59購03,0.00,0,2026-05-15
1150514,1150514,050492,晶豪科中信56購03,1368580.00,327000,2026-05-15
1150514,1150514,050496,創意中信5A購03,0.00,0,2026-05-15
1150514,1150514,050497,創意中信5C購01,0.00,0,2026-05-15
1150514,1150514,050488,華新中信56購02,0.00,0,2026-05-15
1150514,1150514,050487,道瓊銀中信5C購03,8250.00,11000,2026-05-15
1150514,1150514,050503,緯穎中信5A購05,0.00,0,2026-05-15
1150514,1150514,050498,創意中信5C購02,121550.00,27000,2026-05-15
1150514,1150514,050499,聯鈞中信5B購02,0.00,0,2026-05-15
1150514,1150514,050502,矽力中信58購02,0.00,0,2026-05-15
1150514,1150514,050501,力成中信5A購01,4150.00,5000,2026-05-15
1150514,1150514,050663,力成中信61購01,4900.00,5000,2026-05-15
1150514,1150514,050659,大立光中信61購01,1295420.00,1185000,2026-05-15
1150514,1150514,050658,台玻中信59購01,0.00,0,2026-05-15
1150514,1150514,050660,聯詠中信5A購01,3520.00,2000,2026-05-15
1150514,1150514,050662,群創中信59購01,0.00,0,2026-05-15
1150514,1150514,050656,道瓊銀中信61購01,0.00,0,2026-05-15
1150514,1150514,050883,道瓊銀中信61購02,123780.00,167000,2026-05-15
1150514,1150514,050882,道瓊銀中信59購01,86500.00,153000,2026-05-15
1150514,1150514,05087U,臺股指中信56售02,0.00,0,2026-05-15
1150514,1150514,050891,群創中信59購02,990000.00,71000,2026-05-15
1150514,1150514,050890,群創中信57購02,1790300.00,151000,2026-05-15
1150514,1150514,050888,華航中信57購01,0.00,0,2026-05-15
1150514,1150514,050884,第一銅中信5A購01,0.00,0,2026-05-15
1150514,1150514,050908,力積電兆豐59購01,0.00,0,2026-05-15
1150514,1150514,050889,大立光中信5A購01,84120.00,86000,2026-05-15
1150514,1150514,050892,矽格中信5A購01,0.00,0,2026-05-15
1150514,1150514,050886,旺宏中信61購01,0.00,0,2026-05-15
1150514,1150514,050893,南茂中信57購01,35650.00,4000,2026-05-15
1150514,1150514,050885,旺宏中信58購01,0.00,0,2026-05-15
1150514,1150514,050887,京元電中信61購01,44220.00,62000,2026-05-15
1150514,1150514,054206,上銀兆豐61購01,0.00,0,2026-05-15
1150514,1150514,054205,士電兆豐59購01,69100.00,240000,2026-05-15
1150514,1150514,057436,友達兆豐5B購01,412370.00,276000,2026-05-15
1150514,1150514,057437,日月光兆豐5B購01,11440.00,4000,2026-05-15
1150514,1150514,057734,川湖兆豐5B購01,32700.00,10000,2026-05-15
1150514,1150514,06144U,南電中信57售01,0.00,0,2026-05-15
1150514,1150514,06142U,台積電中信59售06,0.00,0,2026-05-15
1150514,1150514,061561,智邦中信61購01,8600.00,5000,2026-05-15
1150514,1150514,061562,臺股指中信63購02,23010.00,14000,2026-05-15
1150514,1150514,061560,臺指2X中信63購05,74410.00,44000,2026-05-15
1150514,1150514,061796,T50反1中信63購06,0.00,0,2026-05-15
1150514,1150514,061797,為升中信59購01,0.00,0,2026-05-15
1150514,1150514,061800,昇陽半中信59購01,553420.00,424000,2026-05-15
1150514,1150514,061798,奇鋐中信59購07,257080.00,285000,2026-05-15
1150514,1150514,061799,禾伸堂中信59購01,163850.00,29000,2026-05-15
1150514,1150514,061953,正文中信59購01,185450.00,273000,2026-05-15
1150514,1150514,061952,定穎控中信63購01,0.00,0,2026-05-15
1150514,1150514,061951,牧德中信59購02,83490.00,207000,2026-05-15
1150514,1150514,061949,金像電中信63購02,801140.00,574000,2026-05-15
1150514,1150514,061948,國巨中信63購02,120450.00,55000,2026-05-15
1150514,1150514,061944,台達電中信63購01,72540.00,62000,2026-05-15
1150514,1150514,061945,台達電中信63購02,141390.00,177000,2026-05-15
1150514,1150514,061946,台達電中信63購03,206810.00,170000,2026-05-15
1150514,1150514,061950,嘉澤中信59購04,509510.00,847000,2026-05-15
1150514,1150514,061947,華通中信62購01,86020.00,111000,2026-05-15
1150514,1150514,061957,世芯兆豐5B購02,0.00,0,2026-05-15
1150514,1150514,065056,華邦電中信5A購02,2761230.00,1807000,2026-05-15
1150514,1150514,065058,力積電中信5A購05,1414890.00,1611000,2026-05-15
1150514,1150514,065057,南亞科中信5A購01,13046120.00,5572000,2026-05-15
1150514,1150514,06523U,元金2X中信5A售01,0.00,0,2026-05-15
1150514,1150514,06524U,台積電中信5A售04,0.00,0,2026-05-15
1150514,1150514,065349,AES兆豐5C購02,10800.00,11000,2026-05-15
1150514,1150514,065459,聯發科中信63購03,574340.00,295000,2026-05-15
1150514,1150514,065460,群創中信5B購01,4894930.00,2324000,2026-05-15
1150514,1150514,065461,貿聯中信5B購01,7200.00,20000,2026-05-15
1150514,1150514,065457,智邦中信62購02,277770.00,256000,2026-05-15
1150514,1150514,065454,臺指2X中信63購06,1419120.00,1874000,2026-05-15
1150514,1150514,065455,台股增中信63購01,396700.00,492000,2026-05-15
