stock_id,sub_sector
0050,金融
0051,金融
0052,金融
0053,金融
0055,金融
0056,金融
0057,金融
0061,金融
1101,水泥
1102,水泥
1103,水泥
1104,水泥
1108,水泥
1109,水泥
1110,水泥
1201,食品
1203,食品
1210,食品
1213,食品
1215,食品
1216,食品
1217,食品
1218,食品
1219,食品
1220,食品
1225,食品
1227,食品
1229,食品
1231,食品
1232,食品
1233,食品
1234,食品
1235,食品
1236,食品
1256,食品
1301,塑化
1303,塑化
1304,塑化
1305,塑化
1307,塑化
1308,塑化
1309,塑化
1310,塑化
1312,塑化
1313,塑化
1314,塑化
1315,塑化
1316,綠電/再生能源
1319,未分類
1321,塑化
1323,塑化
1324,塑化
1325,塑化
1326,塑化
1337,綠電/再生能源
1338,未分類
1339,未分類
1340,塑化
1341,塑化
1342,未分類
1402,紡織
1409,紡織
1410,紡織
1413,紡織
1414,鋼鐵
1416,未分類
1417,紡織
1418,紡織
1419,紡織
1423,紡織
1432,未分類
1434,紡織
1436,建設營造
1437,未分類
1438,建設營造
1439,建設營造
1440,紡織
1441,紡織
1442,建設營造
1443,未分類
1444,紡織
1445,紡織
1446,紡織
1447,紡織
1449,紡織
1451,紡織
1452,紡織
1453,建設營造
1454,紡織
1455,紡織
1456,建設營造
1457,紡織
1459,紡織
1460,紡織
1463,紡織
1464,紡織
1465,紡織
1466,紡織
1467,紡織
1468,紡織
1470,紡織
1471,被動元件
1472,建設營造
1473,紡織
1474,紡織
1475,紡織
1476,塑化
1477,紡織
1503,重電
1504,重電
1506,未分類
1512,未分類
1513,重電
1514,重電
1515,未分類
1516,未分類
1517,未分類
1519,重電
1521,未分類
1522,未分類
1524,未分類
1525,未分類
1526,未分類
1527,未分類
1528,未分類
1529,綠電/再生能源
1530,未分類
1531,未分類
1532,未分類
1533,電動車
1535,未分類
1536,未分類
1537,未分類
1538,未分類
1539,未分類
1540,未分類
1541,未分類
1558,未分類
1560,未分類
1563,未分類
1568,未分類
1582,被動元件
1583,未分類
1587,未分類
1590,未分類
1597,未分類
1598,未分類
1603,未分類
1604,未分類
1605,未分類
1608,未分類
1609,重電
1611,未分類
1612,未分類
1614,未分類
1615,未分類
1616,未分類
1617,未分類
1618,重電
1623,未分類
1626,未分類
1702,食品
1707,生技醫療
1708,塑化
1709,塑化
1710,塑化
1711,塑化
1712,塑化
1713,塑化
1714,塑化
1717,塑化
1718,塑化
1720,生技醫療
1721,塑化
1722,塑化
1723,塑化
1725,塑化
1726,塑化
1727,塑化
1730,塑化
1731,生技醫療
1732,塑化
1733,生技醫療
1734,生技醫療
1735,塑化
1736,未分類
1737,食品
1752,生技醫療
1760,生技醫療
1762,生技醫療
1773,塑化
1776,塑化
1783,生技醫療
1786,生技醫療
1789,生技醫療
1795,生技醫療
1802,未分類
1805,建設營造
1806,未分類
1808,建設營造
1809,未分類
1810,未分類
1817,未分類
1903,未分類
1904,未分類
1905,未分類
1906,未分類
1907,金融
1909,未分類
2002,鋼鐵
2006,鋼鐵
2007,鋼鐵
2008,鋼鐵
2009,鋼鐵
2010,鋼鐵
2012,鋼鐵
2013,鋼鐵
2014,鋼鐵
2015,鋼鐵
2017,鋼鐵
2020,鋼鐵
2022,鋼鐵
2023,鋼鐵
2024,鋼鐵
2025,鋼鐵
2027,食品
2028,鋼鐵
2029,鋼鐵
2030,鋼鐵
2031,鋼鐵
2032,鋼鐵
2033,鋼鐵
2034,鋼鐵
2038,鋼鐵
2049,未分類
2059,被動元件
2062,未分類
2069,鋼鐵
2072,綠電/再生能源
2101,未分類
2102,未分類
2103,未分類
2104,未分類
2105,未分類
2106,未分類
2107,未分類
2108,未分類
2109,未分類
2114,未分類
2115,未分類
2201,電動車
