corporate_governance,securities_trading,financial_statements,indices,warrants,others,broker_data
https://openapi.twse.com.tw/v1/opendata/t187ap46_L_21,https://openapi.twse.com.tw/v1/exchangeReport/BWIBBU_ALL,https://openapi.twse.com.tw/v1/opendata/t187ap07_X_ci,https://openapi.twse.com.tw/v1/exchangeReport/MI_INDEX4,https://openapi.twse.com.tw/v1/opendata/t187ap36_L,https://openapi.twse.com.tw/v1/opendata/t187ap47_L,https://openapi.twse.com.tw/v1/ETFReport/ETFRank
https://openapi.twse.com.tw/v1/opendata/t187ap45_L,https://openapi.twse.com.tw/v1/exchangeReport/STOCK_DAY_AVG_ALL,https://openapi.twse.com.tw/v1/opendata/t187ap07_X_mim,https://openapi.twse.com.tw/v1/indicesReport/FRMSA,https://openapi.twse.com.tw/v1/opendata/t187ap43_L,https://openapi.twse.com.tw/v1/news/eventList,https://openapi.twse.com.tw/v1/brokerService/secRegData
https://openapi.twse.com.tw/v1/opendata/t187ap46_L_20,https://openapi.twse.com.tw/v1/exchangeReport/STOCK_DAY_ALL,https://openapi.twse.com.tw/v1/opendata/t187ap06_X_basi,https://openapi.twse.com.tw/v1/indicesReport/TAI50I,https://openapi.twse.com.tw/v1/opendata/t187ap42_L,https://openapi.twse.com.tw/v1/news/newsList,https://openapi.twse.com.tw/v1/brokerService/brokerList
https://openapi.twse.com.tw/v1/opendata/t187ap46_L_19,https://openapi.twse.com.tw/v1/exchangeReport/FMSRFK_ALL,https://openapi.twse.com.tw/v1/opendata/t187ap06_X_bd,https://openapi.twse.com.tw/v1/indicesReport/MI_5MINS_HIST,,https://openapi.twse.com.tw/v1/exchangeReport/BFI61U,https://openapi.twse.com.tw/v1/opendata/t187ap01
https://openapi.twse.com.tw/v1/opendata/t187ap46_L_18,https://openapi.twse.com.tw/v1/exchangeReport/FMNPTK_ALL,https://openapi.twse.com.tw/v1/opendata/t187ap06_X_ci,https://openapi.twse.com.tw/v1/indicesReport/MFI94U,,,https://openapi.twse.com.tw/v1/opendata/t187ap20
https://openapi.twse.com.tw/v1/opendata/t187ap46_L_17,https://openapi.twse.com.tw/v1/exchangeReport/MI_INDEX,https://openapi.twse.com.tw/v1/opendata/t187ap06_X_fh,,,,https://openapi.twse.com.tw/v1/opendata/t187ap21
https://openapi.twse.com.tw/v1/opendata/t187ap46_L_16,https://openapi.twse.com.tw/v1/fund/MI_QFIIS_cat,https://openapi.twse.com.tw/v1/opendata/t187ap06_X_ins,,,,https://openapi.twse.com.tw/v1/opendata/t187ap18
https://openapi.twse.com.tw/v1/opendata/t187ap46_L_15,https://openapi.twse.com.tw/v1/fund/MI_QFIIS_sort_20,https://openapi.twse.com.tw/v1/opendata/t187ap06_X_mim,,,,https://openapi.twse.com.tw/v1/opendata/OpenData_BRK01
https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,https://openapi.twse.com.tw/v1/exchangeReport/TWT88U,https://openapi.twse.com.tw/v1/opendata/t187ap05_L,,,,https://openapi.twse.com.tw/v1/opendata/OpenData_BRK02
https://openapi.twse.com.tw/v1/opendata/t187ap46_L_13,https://openapi.twse.com.tw/v1/Announcement/BFZFZU_T,https://openapi.twse.com.tw/v1/opendata/t187ap15_L,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap46_L_12,https://openapi.twse.com.tw/v1/exchangeReport/TWTB4U,https://openapi.twse.com.tw/v1/opendata/t187ap16_L,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap46_L_11,https://openapi.twse.com.tw/v1/exchangeReport/TWTBAU1,https://openapi.twse.com.tw/v1/opendata/t187ap17_L,,,,
https://openapi.twse.com.tw/v1/opendata/t187ap46_L_10,https://openapi.twse.com.tw/v1/exchangeReport/TWTBAU2,https://openapi.twse.com.tw/v1/opendata/t187ap31_L,,,,
