stock_id,stock_name,industry,sub_sector,source,confidence,amount
1802,台玻,玻璃陶瓷,未分類,manual_override,high,11117920259.0
8996,高力,電機機械,未分類,manual_override,high,4667556665.0
8112,至上,電子通路業,未分類,manual_override,high,4099579159.0
2049,上銀,電機機械,未分類,manual_override,high,3877258537.0
1590,亞德客-KY,電機機械,未分類,manual_override,high,2220707440.0
3048,益登,電子通路業,未分類,manual_override,high,2210954242.0
9105,泰金寶-DR,Unknown,未分類,manual_override,high,2091567770.0
3036,文曄,電子通路業,未分類,manual_override,high,1852978467.0
1605,華新,電器電纜,未分類,manual_override,high,1712896069.0
5871,中租-KY,其他,未分類,manual_override,high,1481129716.0
5284,jpp-KY,其他,未分類,manual_override,high,1417294838.0
1597,直得,電機機械,未分類,manual_override,high,1413777702.0
8926,台汽電,油電燃氣,未分類,manual_override,high,1396333151.0
3702,大聯大,電子通路業,未分類,manual_override,high,1306887562.0
1560,中砂,電機機械,未分類,manual_override,high,1226746287.0
4576,大銀微系統,電機機械,未分類,manual_override,high,1213359324.0
7750,新代,電機機械,未分類,manual_override,high,990891345.0
2233,宇隆,汽車工業,未分類,manual_override,high,854434482.0
6944,兆聯實業,Unknown,未分類,manual_override,high,699563341.0
3033,威健,電子通路業,未分類,manual_override,high,621131511.0
2371,大同,電機機械,未分類,manual_override,high,616799352.0
8070,長華*,電子通路業,未分類,manual_override,high,584346794.0
5434,崇越,電子通路業,未分類,manual_override,high,547321986.0
1809,中釉,玻璃陶瓷,未分類,manual_override,high,527499622.0
7610,聯友金屬-創,Unknown,未分類,manual_override,high,476104900.0
2347,聯強,電子通路業,未分類,manual_override,high,463374601.0
3055,蔚華科,電子通路業,未分類,manual_override,high,460369306.0
4526,東台,電機機械,未分類,manual_override,high,443590258.0
2241,艾姆勒,汽車工業,未分類,manual_override,high,431838490.0
9904,寶成,Unknown,未分類,manual_override,high,406353448.0
3167,大量,電機機械,未分類,manual_override,high,403786552.0
4540,全球傳動,電機機械,未分類,manual_override,high,393835069.0
8033,雷虎,其他,未分類,manual_override,high,391652901.0
2105,正新,橡膠工業,未分類,manual_override,high,372972247.0
1319,東陽,汽車工業,未分類,manual_override,high,360815135.0
1536,和大,汽車工業,未分類,manual_override,high,356045408.0
3028,增你強,電子通路業,未分類,manual_override,high,354726005.0
4551,智伸科,汽車工業,未分類,manual_override,high,341145512.0
3209,全科,電子通路業,未分類,manual_override,high,314382387.0
4566,時碩工業,電機機械,未分類,manual_override,high,308974126.0
3708,上緯投控,Unknown,未分類,manual_override,high,302163193.0
6214,精誠,資訊服務業,未分類,manual_override,high,302089556.0
1608,華榮,電器電纜,未分類,manual_override,high,299415717.0
1563,巧新,汽車工業,未分類,manual_override,high,294231955.0
4571,鈞興-KY,電機機械,未分類,manual_override,high,289908424.0
3010,華立,電子通路業,未分類,manual_override,high,237933089.0
1810,和成,玻璃陶瓷,未分類,manual_override,high,231494931.0
4555,氣立,電機機械,未分類,manual_override,high,225265806.0
8422,可寧衛*,Unknown,未分類,manual_override,high,217748801.0
2497,怡利電,汽車工業,未分類,manual_override,high,216176721.0
1623,大東電,電器電纜,未分類,manual_override,high,214690067.0
8374,羅昇,電機機械,未分類,manual_override,high,208607153.0
6670,復盛應用,Unknown,未分類,manual_override,high,205032141.0
8464,億豐,Unknown,未分類,manual_override,high,198893432.0
7740,熙特爾-創,Unknown,未分類,manual_override,high,195387004.0
8473,山林水,Unknown,未分類,manual_override,high,191395935.0
3312,弘憶股,電子通路業,未分類,manual_override,high,187513073.0
9910,豐泰,Unknown,未分類,manual_override,high,173852982.0
1524,耿鼎,汽車工業,未分類,manual_override,high,172250417.0
4583,台灣精銳,電機機械,未分類,manual_override,high,158653201.0
2453,凌群,資訊服務業,未分類,manual_override,high,157246222.0
9933,中鼎,其他,未分類,manual_override,high,154119201.0
6605,帝寶,汽車工業,未分類,manual_override,high,149911475.0
9939,宏全,其他,未分類,manual_override,high,140483321.0
3528,安馳,電子通路業,未分類,manual_override,high,130339115.0
2206,三陽工業,汽車工業,未分類,manual_override,high,127879956.0
1528,恩德,電機機械,未分類,manual_override,high,123950748.0
9921,巨大,Unknown,未分類,manual_override,high,122979939.0
1522,堤維西,汽車工業,未分類,manual_override,high,111191088.0
5292,華懋,Unknown,未分類,manual_override,high,110959121.0
9941,裕融,其他,未分類,manual_override,high,110619557.0
2204,中華,汽車工業,未分類,manual_override,high,101731877.0
9938,百和,其他,未分類,manual_override,high,99575992.0
6890,來億-KY,Unknown,未分類,manual_override,high,98456772.0
3029,零壹,資訊服務業,未分類,manual_override,high,93858975.0
9802,鈺齊-KY,Unknown,未分類,manual_override,high,91736260.0
2236,百達-KY,汽車工業,未分類,manual_override,high,90029006.0
9914,美利達,Unknown,未分類,manual_override,high,85814901.0
3717,聯嘉投控,汽車工業,未分類,manual_override,high,82071959.0
1530,亞崴,電機機械,未分類,manual_override,high,80957364.0
2480,敦陽科,資訊服務業,未分類,manual_override,high,72344534.0
1568,倉佑,汽車工業,未分類,manual_override,high,68413253.0
6189,豐藝,電子通路業,未分類,manual_override,high,65453540.0
2101,南港,橡膠工業,未分類,manual_override,high,65362670.0
2103,台橡,橡膠工業,未分類,manual_override,high,62160131.0
6994,富威電力,Unknown,未分類,manual_override,high,61032678.0
6768,志強-KY,Unknown,未分類,manual_override,high,60917459.0
1905,華紙,造紙工業,未分類,manual_override,high,58166512.0
1587,吉茂,汽車工業,未分類,manual_override,high,58044906.0
4562,穎漢,電機機械,未分類,manual_override,high,57830898.0
2903,遠百,貿易百貨,未分類,manual_override,high,57584378.0
2228,劍麟,汽車工業,未分類,manual_override,high,56372841.0
6902,GOGOLOOK,Unknown,未分類,manual_override,high,55696103.0
6873,泓德能源,Unknown,未分類,manual_override,high,54057964.0
9917,中保科,其他,未分類,manual_override,high,49857011.0
1339,昭輝,汽車工業,未分類,manual_override,high,49202585.0
8438,昶昕,Unknown,未分類,manual_override,high,47977657.0
1736,喬山,Unknown,未分類,manual_override,high,46530543.0
6592,和潤企業,其他,未分類,manual_override,high,46456728.0
6906,現觀科,Unknown,未分類,manual_override,high,43517522.0
1612,宏泰,電器電纜,未分類,manual_override,high,41501502.0
9911,櫻花,Unknown,未分類,manual_override,high,39957337.0
2243,宏旭-KY,汽車工業,未分類,manual_override,high,38831236.0
4536,拓凱,Unknown,未分類,manual_override,high,37907217.0
7818,溢泰實業,Unknown,未分類,manual_override,high,37618345.0
7786,東方風能,Unknown,未分類,manual_override,high,36844173.0
2913,農林,貿易百貨,未分類,manual_override,high,36035528.0
2247,汎德永業,汽車工業,未分類,manual_override,high,35456290.0
5288,豐祥-KY,電機機械,未分類,manual_override,high,34281640.0
